START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2021-12-25 12:41:00.250,2021-12-25 12:41:15.250,In_Position_Upright,Expert,POSTURE
2021-12-25 12:41:31.250,2021-12-25 13:41:04.187,In_Position_Sitting,Expert,POSTURE
2021-12-25 13:41:17.187,2021-12-25 13:43:08.187,In_Position_Upright,Expert,POSTURE
2021-12-25 13:43:09.187,2021-12-25 13:43:36.187,In_Position_Upright,Expert,POSTURE
2021-12-25 13:43:44.187,2021-12-25 13:44:42.187,In_Position_Upright,Expert,POSTURE
2021-12-25 13:44:42.187,2021-12-25 13:45:07.187,In_Position_Upright,Expert,POSTURE
2021-12-25 13:45:07.187,2021-12-25 13:46:47.187,In_Position_Upright,Expert,POSTURE
2021-12-25 13:46:47.187,2021-12-25 13:47:43.187,In_Position_Upright,Expert,POSTURE
2021-12-25 13:47:43.187,2021-12-25 13:48:47.187,In_Position_Upright,Expert,POSTURE
2021-12-25 13:48:47.187,2021-12-25 13:49:25.187,In_Position_Upright,Expert,POSTURE
2021-12-25 13:49:40.187,2021-12-25 14:08:57.162,In_Position_Sitting,Expert,POSTURE
2021-12-25 14:09:32.162,2021-12-25 14:12:04.162,In_Position_Upright,Expert,POSTURE
2021-12-25 14:12:04.162,2021-12-25 14:15:37.162,In_Position_Upright,Expert,POSTURE
2021-12-25 14:16:05.162,2021-12-25 14:16:24.162,In_Position_Upright,Expert,POSTURE
2021-12-25 14:16:24.162,2021-12-25 14:20:49.150,In_Position_Upright,Expert,POSTURE
2021-12-25 14:20:49.150,2021-12-25 14:21:08.150,In_Position_Upright,Expert,POSTURE
2021-12-25 14:21:12.150,2021-12-25 14:22:41.150,In_Position_Upright,Expert,POSTURE
2021-12-25 14:22:54.150,2021-12-25 14:36:43.137,In_Position_Sitting,Expert,POSTURE
2021-12-25 14:36:56.137,2021-12-25 14:39:01.137,In_Position_Upright,Expert,POSTURE
2021-12-25 14:39:18.137,2021-12-25 14:40:26.137,In_Position_Sitting,Expert,POSTURE
2021-12-25 14:40:40.137,2021-12-25 14:42:47.137,In_Position_Upright,Expert,POSTURE
2021-12-25 14:43:01.137,2021-12-25 15:28:39.087,In_Position_Sitting,Expert,POSTURE
2021-12-25 15:28:45.087,2021-12-25 15:29:06.087,In_Position_Upright,Expert,POSTURE
2021-12-25 15:29:08.087,2021-12-25 15:31:18.087,In_Position_Upright,Expert,POSTURE
2021-12-25 15:31:30.087,2021-12-25 15:35:08.087,In_Position_Upright,Expert,POSTURE
2021-12-25 15:35:09.087,2021-12-25 15:36:05.087,In_Position_Upright,Expert,POSTURE
2021-12-25 15:36:17.087,2021-12-25 15:36:25.087,In_Position_Upright,Expert,POSTURE
2021-12-25 15:36:49.087,2021-12-25 16:20:33.037,In_Position_Sitting,Expert,POSTURE
2021-12-25 16:21:02.037,2021-12-25 16:21:21.037,In_Position_Upright,Expert,POSTURE
2021-12-25 16:21:44.037,2021-12-25 16:22:10.037,In_Position_Upright,Expert,POSTURE
2021-12-25 16:22:11.037,2021-12-25 16:40:44.025,In_Position_Upright,Expert,POSTURE
2021-12-25 16:40:59.025,2021-12-25 16:41:17.025,In_Position_Upright,Expert,POSTURE
2021-12-25 16:41:30.025,2021-12-25 16:57:33.012,In_Position_Sitting,Expert,POSTURE
2021-12-25 16:58:19.012,2021-12-25 17:09:44.000,In_Position_Reclining_Slouching,Expert,POSTURE
2021-12-25 17:10:07.000,2021-12-25 17:36:09.975,In_Position_Sitting,Expert,POSTURE
2021-12-25 17:36:22.975,2021-12-25 17:36:33.975,In_Position_Upright,Expert,POSTURE
2021-12-25 17:36:46.975,2021-12-25 17:39:41.975,In_Position_Upright,Expert,POSTURE
2021-12-25 17:39:51.962,2021-12-25 17:40:03.962,In_Position_Upright,Expert,POSTURE
2021-12-25 17:40:30.962,2021-12-25 17:49:26.962,In_Position_Upright,Expert,POSTURE
2021-12-25 17:49:38.962,2021-12-25 17:50:06.962,In_Position_Upright,Expert,POSTURE
2021-12-25 17:50:08.962,2021-12-25 17:54:35.950,In_Position_Upright,Expert,POSTURE
2021-12-25 17:55:00.950,2021-12-25 18:05:34.950,In_Position_Sitting,Expert,POSTURE
2021-12-25 18:05:58.950,2021-12-25 18:51:10.900,Posture_Indecipherable/Video_Insufficient,Expert,POSTURE
2021-12-25 18:57:35.900,2021-12-25 19:07:37.887,In_Position_Reclining_Slouching,Expert,POSTURE
2021-12-25 19:08:32.887,2021-12-25 19:08:59.887,In_Position_Upright,Expert,POSTURE
2021-12-25 19:09:09.887,2021-12-25 19:09:57.887,In_Position_Sitting,Expert,POSTURE
2021-12-25 19:10:10.887,2021-12-25 19:17:36.875,In_Position_Upright,Expert,POSTURE
2021-12-25 19:17:59.875,2021-12-25 20:07:35.825,In_Position_Sitting,Expert,POSTURE
2021-12-25 20:07:59.825,2021-12-25 20:09:42.825,In_Position_Upright,Expert,POSTURE
2021-12-25 20:09:54.825,2021-12-25 20:11:17.825,In_Position_Sitting,Expert,POSTURE
2021-12-25 20:11:29.825,2021-12-25 20:18:24.825,In_Position_Upright,Expert,POSTURE
2021-12-25 20:18:38.825,2021-12-25 20:28:19.812,In_Position_Sitting,Expert,POSTURE
2021-12-25 20:28:32.812,2021-12-25 20:29:54.812,In_Position_Upright,Expert,POSTURE
2021-12-25 20:30:08.812,2021-12-25 20:43:41.800,In_Position_Sitting,Expert,POSTURE
2021-12-25 20:44:07.800,2021-12-25 20:46:24.800,In_Position_Upright,Expert,POSTURE
2021-12-25 20:46:42.800,2021-12-25 20:47:30.787,In_Position_Upright,Expert,POSTURE
2021-12-25 20:47:54.787,2021-12-25 20:59:37.787,In_Position_Upright,Expert,POSTURE
2021-12-25 20:59:47.787,2021-12-25 20:59:55.787,In_Position_Upright,Expert,POSTURE
2021-12-25 21:01:06.775,2021-12-25 21:06:32.775,In_Position_Upright,Expert,POSTURE
2021-12-25 21:07:00.775,2021-12-25 23:39:34.637,Posture_Indecipherable/Video_Insufficient,Expert,POSTURE
