START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-01-17 20:00:03.800,2022-01-17 20:03:50.762,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 20:03:53.762,2022-01-17 20:05:25.750,Located_Indoors/Handwriting,annotator,Behavioral Parameters
2022-01-17 20:05:32.750,2022-01-17 20:05:51.737,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 20:06:14.737,2022-01-17 20:17:02.612,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 20:17:18.612,2022-01-17 20:17:29.612,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 20:17:33.612,2022-01-17 20:18:33.600,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 20:18:36.600,2022-01-17 20:18:47.600,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 20:19:00.600,2022-01-17 20:19:25.587,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 20:19:29.587,2022-01-17 20:23:59.537,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 20:24:04.537,2022-01-17 20:24:29.537,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-01-17 20:24:36.537,2022-01-17 20:26:31.512,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 20:26:36.512,2022-01-17 20:29:53.475,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 20:29:57.475,2022-01-17 20:32:39.450,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 20:32:44.450,2022-01-17 20:32:56.450,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 20:33:02.437,2022-01-17 20:35:01.425,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 20:35:14.425,2022-01-17 21:13:51.000,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:13:57.000,2022-01-17 21:14:18.987,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-01-17 21:14:34.987,2022-01-17 21:23:19.887,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:23:26.887,2022-01-17 21:24:38.875,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:24:47.875,2022-01-17 21:27:13.850,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:27:16.850,2022-01-17 21:27:36.850,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-01-17 21:27:47.850,2022-01-17 21:28:01.837,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-01-17 21:28:07.837,2022-01-17 21:28:22.837,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-01-17 21:28:24.837,2022-01-17 21:28:38.837,Holding_Other_Object_Light/Located_Outdoors,annotator,Behavioral Parameters
2022-01-17 21:28:25.837,2022-01-17 21:28:25.837,Holding_Other_Object_Light/Located_Outdoors,annotator,Behavioral Parameters
2022-01-17 21:28:40.837,2022-01-17 21:28:42.837,Holding_Other_Object_Light/Located_Outdoors,annotator,Behavioral Parameters
2022-01-17 21:28:46.837,2022-01-17 21:30:35.812,Holding_Other_Object_Light/Located_Outdoors,annotator,Behavioral Parameters
2022-01-17 21:30:37.812,2022-01-17 21:30:45.812,Located_Outdoors,annotator,Behavioral Parameters
2022-01-17 21:30:48.812,2022-01-17 21:31:31.800,Holding_Other_Object_Light/Located_Outdoors,annotator,Behavioral Parameters
2022-01-17 21:31:34.800,2022-01-17 21:31:39.800,Located_Outdoors,annotator,Behavioral Parameters
2022-01-17 21:31:41.800,2022-01-17 21:31:44.800,Located_Outdoors,annotator,Behavioral Parameters
2022-01-17 21:31:46.800,2022-01-17 21:37:57.737,Holding_Other_Object_Light/Located_Outdoors,annotator,Behavioral Parameters
2022-01-17 21:38:01.737,2022-01-17 21:38:11.725,Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:38:18.725,2022-01-17 21:38:24.725,Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:38:28.725,2022-01-17 21:38:58.725,Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:39:02.725,2022-01-17 21:39:28.712,Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:39:33.712,2022-01-17 21:39:50.712,Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:39:52.712,2022-01-17 21:40:40.700,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:40:41.700,2022-01-17 21:41:07.700,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:41:11.700,2022-01-17 21:41:20.700,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:41:22.700,2022-01-17 21:42:10.687,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:42:13.687,2022-01-17 21:42:30.687,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:42:32.687,2022-01-17 21:42:42.687,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:43:06.675,2022-01-17 21:43:17.675,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:43:19.675,2022-01-17 21:43:38.675,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:43:42.675,2022-01-17 21:44:15.662,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:44:17.662,2022-01-17 21:45:28.650,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:45:29.650,2022-01-17 21:46:48.637,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-01-17 21:46:52.637,2022-01-17 21:47:08.637,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:47:10.637,2022-01-17 21:49:16.612,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:49:20.612,2022-01-17 21:50:26.600,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-01-17 21:50:28.600,2022-01-17 21:51:10.587,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:51:20.587,2022-01-17 21:51:36.587,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-01-17 21:51:40.587,2022-01-17 21:52:47.575,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:52:54.575,2022-01-17 21:53:03.562,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:53:06.562,2022-01-17 21:53:27.562,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:53:29.562,2022-01-17 21:53:40.562,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:53:45.562,2022-01-17 21:53:45.562,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:53:47.562,2022-01-17 21:54:27.550,Located_Indoors,annotator,Behavioral Parameters
2022-01-17 21:54:29.550,2022-01-17 22:05:20.437,Located_Indoors/Handwriting,annotator,Behavioral Parameters
2022-01-17 22:05:27.437,2022-01-17 22:09:55.387,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-01-17 22:09:57.387,2022-01-17 22:10:31.375,Located_Indoors/Browsing_Computer/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-01-17 22:10:34.375,2022-01-17 22:13:11.350,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-01-17 22:13:13.350,2022-01-17 22:13:29.350,Located_Indoors/Browsing_Computer/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-01-17 22:13:30.350,2022-01-17 22:14:46.325,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-01-17 22:14:53.325,2022-01-17 22:15:04.325,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2022-01-17 22:15:06.325,2022-01-17 22:15:18.325,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
