START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-01-22 12:59:13.812,2022-01-22 13:15:53.925,Meeting _Social_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:16:00.925,2022-01-22 13:18:24.937,Meeting _Social_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:18:28.937,2022-01-22 13:20:17.950,Meeting _Social_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:20:25.950,2022-01-22 13:28:26.000,Meeting _Social_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:28:43.012,2022-01-22 13:29:29.012,Dressing/Undressing,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:29:43.012,2022-01-22 13:30:09.012,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:30:17.012,2022-01-22 13:37:04.062,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:37:07.062,2022-01-22 13:37:49.062,,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:38:02.075,2022-01-22 13:39:02.075,,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:39:13.075,2022-01-22 13:40:25.087,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:40:35.087,2022-01-22 13:41:56.100,,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:42:23.100,2022-01-22 13:44:31.112,,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:44:45.112,2022-01-22 13:46:14.125,,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:46:28.125,2022-01-22 13:46:34.125,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:46:38.125,2022-01-22 13:47:24.125,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:47:28.137,2022-01-22 13:47:56.137,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:48:01.137,2022-01-22 13:49:23.150,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:49:27.150,2022-01-22 13:50:09.150,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:50:12.150,2022-01-22 13:54:57.175,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:55:04.187,2022-01-22 13:56:02.187,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:56:18.187,2022-01-22 13:56:27.187,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:56:42.187,2022-01-22 13:57:14.200,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:57:20.200,2022-01-22 13:58:02.200,,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:58:03.200,2022-01-22 13:58:13.200,Dressing/Undressing,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:58:18.200,2022-01-22 13:59:18.212,Meeting _Social_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 13:59:42.212,2022-01-22 14:00:27.212,HLB_Indecipherable/Video_Insufficient,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 14:00:40.225,2022-01-22 14:01:16.225,,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 14:01:21.225,2022-01-22 14:04:41.250,Dressing/Undressing,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 14:04:46.250,2022-01-22 14:05:53.250,,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 14:05:53.250,2022-01-22 14:06:25.262,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 14:06:28.262,2022-01-22 14:13:18.300,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 14:13:31.300,2022-01-22 14:13:47.300,In_Transit_Active/Riding_Elevator_Up,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 14:13:48.300,2022-01-22 14:14:47.312,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 14:14:59.312,2022-01-22 15:14:49.712,In_Transit_Driving_Car,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 15:14:55.712,2022-01-22 15:15:13.712,Loading/Unloading_Vehicle,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 15:15:14.712,2022-01-22 15:16:11.725,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 15:16:16.725,2022-01-22 15:18:06.737,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 15:18:06.737,2022-01-22 15:19:15.737,Meeting _Social_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 15:19:22.737,2022-01-22 15:20:52.750,Meeting _Social_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 15:20:56.750,2022-01-22 15:22:00.762,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 15:22:06.762,2022-01-22 15:26:08.787,Meeting _Social_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 15:26:13.787,2022-01-22 15:46:59.925,Meeting _Social_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 15:47:03.925,2022-01-22 15:47:24.925,Meeting _Social_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-01-22 15:47:32.925,2022-01-22 17:06:58.450,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
