START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_STOP_TIME
2022-01-17 20:00:03.800,2022-01-17 20:03:50.762000,Free_Living,Expert,Experimental situation,,
2022-01-17 20:03:53.762,2022-01-17 20:05:25.750000,Free_Living,Expert,Experimental situation,,
2022-01-17 20:05:32.750,2022-01-17 20:05:51.737000,Free_Living,Expert,Experimental situation,,
2022-01-17 20:06:14.737,2022-01-17 20:17:02.612000,Free_Living,Expert,Experimental situation,,
2022-01-17 20:17:18.612,2022-01-17 20:17:29.612000,Free_Living,Expert,Experimental situation,,
2022-01-17 20:17:33.612,2022-01-17 20:18:33.600000,Free_Living,Expert,Experimental situation,,
2022-01-17 20:18:36.600,2022-01-17 20:18:47.600000,Free_Living,Expert,Experimental situation,,
2022-01-17 20:19:00.600,2022-01-17 20:19:25.587000,Free_Living,Expert,Experimental situation,,
2022-01-17 20:19:29.587,2022-01-17 20:23:59.537000,Free_Living,Expert,Experimental situation,,
2022-01-17 20:24:04.537,2022-01-17 20:24:29.537000,Free_Living,Expert,Experimental situation,,
2022-01-17 20:24:36.537,2022-01-17 20:26:31.512000,Free_Living,Expert,Experimental situation,,
2022-01-17 20:26:36.512,2022-01-17 20:29:53.475000,Free_Living,Expert,Experimental situation,,
2022-01-17 20:29:57.475,2022-01-17 20:32:39.450000,Free_Living,Expert,Experimental situation,,
2022-01-17 20:32:44.450,2022-01-17 20:32:56.450000,Free_Living,Expert,Experimental situation,,
2022-01-17 20:33:02.437,2022-01-17 20:35:01.425000,Free_Living,Expert,Experimental situation,,
2022-01-17 20:35:14.425,2022-01-17 21:13:51,Free_Living,Expert,Experimental situation,,
2022-01-17 21:13:57.000,2022-01-17 21:14:18.987000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:14:34.987,2022-01-17 21:23:19.887000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:23:26.887,2022-01-17 21:24:38.875000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:24:47.875,2022-01-17 21:27:13.850000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:27:16.850,2022-01-17 21:27:36.850000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:27:47.850,2022-01-17 21:28:01.837000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:28:07.837,2022-01-17 21:28:22.837000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:28:24.837,2022-01-17 21:28:38.837000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:28:40.837,2022-01-17 21:28:42.837000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:28:46.837,2022-01-17 21:30:35.812000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:30:37.812,2022-01-17 21:30:45.812000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:30:48.812,2022-01-17 21:31:31.800000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:31:34.800,2022-01-17 21:31:39.800000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:31:41.800,2022-01-17 21:31:44.800000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:31:46.800,2022-01-17 21:37:57.737000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:38:01.737,2022-01-17 21:38:11.725000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:38:18.725,2022-01-17 21:38:24.725000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:38:28.725,2022-01-17 21:38:58.725000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:39:02.725,2022-01-17 21:39:28.712000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:39:33.712,2022-01-17 21:39:50.712000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:39:52.712,2022-01-17 21:40:40.700000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:40:41.700,2022-01-17 21:41:07.700000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:41:11.700,2022-01-17 21:41:20.700000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:41:22.700,2022-01-17 21:42:10.687000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:42:13.687,2022-01-17 21:42:30.687000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:42:32.687,2022-01-17 21:42:42.687000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:43:06.675,2022-01-17 21:43:17.675000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:43:19.675,2022-01-17 21:43:38.675000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:43:42.675,2022-01-17 21:44:15.662000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:44:17.662,2022-01-17 21:45:28.650000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:45:29.650,2022-01-17 21:46:48.637000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:46:52.637,2022-01-17 21:47:08.637000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:47:10.637,2022-01-17 21:49:16.612000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:49:20.612,2022-01-17 21:50:26.600000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:50:28.600,2022-01-17 21:51:10.587000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:51:20.587,2022-01-17 21:51:36.587000,Free_Living,Expert,Experimental situation,,
2022-01-17 21:51:40.587,2022-01-17 21:52:47.575000,Free_Living,Expert,Experimental situation,,
