START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-02-03 12:01:38.325,2022-02-03 12:01:55.325,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:01:55.325,2022-02-03 12:02:14.325,Located_Indoors/Legs_Crossed,annotator,Behavioral Parameters
2022-02-03 12:02:14.325,2022-02-03 12:03:53.300,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 12:03:53.300,2022-02-03 12:04:05.300,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 12:04:05.300,2022-02-03 12:04:56.287,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 12:04:56.287,2022-02-03 12:05:12.287,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 12:05:12.287,2022-02-03 12:07:16.262,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 12:07:16.262,2022-02-03 12:07:34.262,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:07:35.262,2022-02-03 12:11:08.225,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:11:10.225,2022-02-03 12:12:31.212,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:12:31.212,2022-02-03 12:13:08.200,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 12:13:21.200,2022-02-03 12:14:04.187,Located_Indoors/In_Conversation/On_Phone_Call,annotator,Behavioral Parameters
2022-02-03 12:14:05.187,2022-02-03 12:14:26.187,Located_Indoors/In_Conversation/On_Phone_Call,annotator,Behavioral Parameters
2022-02-03 12:14:26.187,2022-02-03 12:19:48.125,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 12:19:55.125,2022-02-03 12:28:39.037,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 12:28:39.037,2022-02-03 12:28:53.037,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:28:54.037,2022-02-03 12:29:02.025,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 12:29:02.025,2022-02-03 12:29:26.025,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:29:28.025,2022-02-03 12:30:00.025,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:30:01.025,2022-02-03 12:30:29.012,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:30:29.012,2022-02-03 12:31:07.012,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:31:08.012,2022-02-03 12:32:59.987,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:32:59.987,2022-02-03 12:33:27.987,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:33:27.987,2022-02-03 12:33:47.975,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:33:49.975,2022-02-03 12:34:23.975,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:34:23.975,2022-02-03 12:34:41.975,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 12:34:41.975,2022-02-03 12:35:51.962,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:35:51.962,2022-02-03 12:36:09.950,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:36:09.950,2022-02-03 12:36:37.950,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:36:39.950,2022-02-03 12:36:55.950,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 12:36:58.950,2022-02-03 12:38:19.925,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 12:38:20.925,2022-02-03 12:39:05.925,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-02-03 12:39:09.925,2022-02-03 12:39:24.912,Located_Indoors/Texting/Browsing_Phone/Holding_Drink,annotator,Behavioral Parameters
2022-02-03 12:39:30.912,2022-02-03 12:42:26.887,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:42:30.887,2022-02-03 12:44:49.862,Located_Indoors/Texting/Browsing_Phone/Holding_Solid_Food,annotator,Behavioral Parameters
2022-02-03 12:44:51.862,2022-02-03 12:45:11.850,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-02-03 12:45:13.850,2022-02-03 12:45:23.850,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:45:24.850,2022-02-03 12:45:31.850,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2022-02-03 12:45:32.850,2022-02-03 12:46:29.837,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-02-03 12:46:30.837,2022-02-03 12:47:27.825,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 12:47:37.825,2022-02-03 12:48:16.825,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:48:17.825,2022-02-03 12:50:46.800,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 12:51:00.787,2022-02-03 12:51:55.787,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 12:51:56.787,2022-02-03 12:57:05.725,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 12:57:24.725,2022-02-03 13:03:45.650,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 13:03:50.650,2022-02-03 13:03:58.650,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 13:04:03.650,2022-02-03 13:04:05.650,Located_Indoors,annotator,Behavioral Parameters
2022-02-03 13:04:06.650,2022-02-03 13:04:18.650,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 13:04:20.650,2022-02-03 13:04:28.650,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 13:04:33.650,2022-02-03 13:05:18.637,Located_Outdoors,annotator,Behavioral Parameters
2022-02-03 13:06:39.625,2022-02-03 13:08:07.612,Located_Outdoors,annotator,Behavioral Parameters
2022-02-03 13:08:09.612,2022-02-03 13:08:34.600,Located_Outdoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 13:08:36.600,2022-02-03 13:10:04.587,Located_Outdoors,annotator,Behavioral Parameters
2022-02-03 13:10:07.587,2022-02-03 13:10:20.587,Located_Outdoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 13:10:23.587,2022-02-03 13:10:41.575,Located_Outdoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 13:10:43.575,2022-02-03 13:11:31.575,Located_Outdoors,annotator,Behavioral Parameters
2022-02-03 13:11:43.562,2022-02-03 13:11:54.562,Located_Outdoors,annotator,Behavioral Parameters
2022-02-03 13:11:56.562,2022-02-03 13:12:16.562,Located_Outdoors,annotator,Behavioral Parameters
2022-02-03 13:12:17.562,2022-02-03 13:13:19.550,Located_Outdoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-03 13:13:26.550,2022-02-03 13:13:46.550,Located_Outdoors,annotator,Behavioral Parameters
