START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-02-03 12:01:38.325,2022-02-03 12:01:55.325,,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:01:55.325,2022-02-03 12:02:14.325,,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:02:14.325,2022-02-03 12:03:53.300,,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:03:53.300,2022-02-03 12:04:05.300,,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:04:05.300,2022-02-03 12:04:56.287,,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:04:56.287,2022-02-03 12:05:12.287,,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:05:12.287,2022-02-03 12:07:16.262,,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:07:16.262,2022-02-03 12:07:34.262,,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:07:35.262,2022-02-03 12:11:08.225,Relaxing_Passive,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:11:10.225,2022-02-03 12:12:31.212,,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:12:31.212,2022-02-03 12:13:08.200,,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:13:21.200,2022-02-03 12:14:04.187,,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:14:05.187,2022-02-03 12:14:26.187,,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:14:26.187,2022-02-03 12:19:48.125,,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:19:55.125,2022-02-03 12:28:39.037,,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:28:39.037,2022-02-03 12:28:53.037,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:28:54.037,2022-02-03 12:29:02.025,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:29:02.025,2022-02-03 12:29:26.025,Doing_Laundry,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:29:28.025,2022-02-03 12:30:00.025,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:30:01.025,2022-02-03 12:30:29.012,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:30:29.012,2022-02-03 12:31:07.012,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:31:08.012,2022-02-03 12:32:59.987,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:32:59.987,2022-02-03 12:33:27.987,Doing_Common_Housework,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:33:27.987,2022-02-03 12:33:47.975,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:33:49.975,2022-02-03 12:34:23.975,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:34:23.975,2022-02-03 12:34:41.975,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:34:41.975,2022-02-03 12:35:51.962,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:35:51.962,2022-02-03 12:36:09.950,Doing_Dishes,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:36:09.950,2022-02-03 12:36:37.950,Doing_Dishes,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:36:39.950,2022-02-03 12:36:55.950,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:36:58.950,2022-02-03 12:38:19.925,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:38:20.925,2022-02-03 12:39:05.925,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:39:09.925,2022-02-03 12:39:24.912,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:39:30.912,2022-02-03 12:42:26.887,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:42:30.887,2022-02-03 12:44:49.862,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:44:51.862,2022-02-03 12:45:11.850,Eating/Dining/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:45:13.850,2022-02-03 12:45:23.850,Eating/Dining/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:45:24.850,2022-02-03 12:45:31.850,Eating/Dining/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:45:32.850,2022-02-03 12:46:29.837,Eating/Dining/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-02-03 12:46:30.837,2022-02-03 12:47:27.825,Eating/Dining/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
