START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-02-06 19:10:44.475,2022-02-06 19:34:32.037,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 19:34:37.037,2022-02-06 19:34:52.037,Doing_Common_Housework,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 19:35:20.050,2022-02-06 19:39:43.162,WatchingTV/Movies/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 19:39:46.162,2022-02-06 19:39:53.162,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 19:39:54.162,2022-02-06 19:40:10.162,,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 19:40:13.162,2022-02-06 19:40:24.175,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 19:40:24.175,2022-02-06 19:40:31.175,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 19:40:33.175,2022-02-06 19:40:40.175,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 19:40:40.175,2022-02-06 19:40:49.187,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 19:40:56.187,2022-02-06 19:51:18.425,WatchingTV/Movies/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 19:51:21.437,2022-02-06 19:52:37.462,WatchingTV/Movies/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 19:52:41.462,2022-02-06 19:56:45.562,WatchingTV/Movies/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 19:56:49.562,2022-02-06 20:04:31.737,WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 20:04:35.750,2022-02-06 20:30:21.350,WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 20:30:37.362,2022-02-06 20:30:45.362,,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 20:30:45.362,2022-02-06 20:30:52.362,,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 20:30:53.362,2022-02-06 20:31:04.375,,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 20:31:07.375,2022-02-06 20:31:16.375,,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 20:31:35.387,2022-02-06 21:06:50.212,,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 21:06:59.212,2022-02-06 21:07:28.225,,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 21:07:31.225,2022-02-06 21:07:35.237,,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 21:07:47.237,2022-02-06 21:08:16.250,HLB_Other,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 21:08:20.250,2022-02-06 21:08:41.262,HLB_Other,annotator,HIGH LEVEL BEHAVIOR
2022-02-06 21:08:42.262,2022-02-06 21:08:49.262,HLB_Other,annotator,HIGH LEVEL BEHAVIOR
