START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-02-07 11:52:07.325,2022-02-07 11:52:14.325,In_Position_Upright,annotator,POSTURE
2022-02-07 11:52:14.325,2022-02-07 11:52:41.325,In_Position_Sitting,annotator,POSTURE
2022-02-07 11:52:41.325,2022-02-07 11:52:50.325,In_Position_Sitting,annotator,POSTURE
2022-02-07 11:52:50.325,2022-02-07 11:53:20.325,In_Position_Upright,annotator,POSTURE
2022-02-07 11:53:20.325,2022-02-07 11:53:26.325,In_Position_Upright,annotator,POSTURE
2022-02-07 11:53:26.325,2022-02-07 11:53:45.337,In_Position_Upright,annotator,POSTURE
2022-02-07 11:53:51.337,2022-02-07 11:59:15.362,In_Position_Sitting,annotator,POSTURE
2022-02-07 11:59:15.362,2022-02-07 11:59:27.362,In_Position_Upright,annotator,POSTURE
2022-02-07 11:59:27.362,2022-02-07 12:00:00.362,In_Position_Upright,annotator,POSTURE
2022-02-07 12:00:00.362,2022-02-07 12:00:07.362,In_Position_Upright,annotator,POSTURE
2022-02-07 12:00:15.362,2022-02-07 12:01:01.362,In_Position_Upright,annotator,POSTURE
2022-02-07 12:01:02.362,2022-02-07 12:04:52.387,In_Position_Upright,annotator,POSTURE
2022-02-07 12:04:52.387,2022-02-07 12:05:08.387,In_Position_Upright,annotator,POSTURE
2022-02-07 12:05:08.387,2022-02-07 12:06:53.400,In_Position_Upright,annotator,POSTURE
2022-02-07 12:06:59.400,2022-02-07 12:07:10.400,In_Position_Upright,annotator,POSTURE
2022-02-07 12:07:10.400,2022-02-07 12:07:17.400,In_Position_Upright,annotator,POSTURE
2022-02-07 12:07:17.400,2022-02-07 12:07:23.400,In_Position_Upright,annotator,POSTURE
2022-02-07 12:07:24.400,2022-02-07 12:07:59.400,In_Position_Upright,annotator,POSTURE
2022-02-07 12:07:59.400,2022-02-07 12:11:20.412,In_Position_Sitting,annotator,POSTURE
2022-02-07 12:11:20.412,2022-02-07 12:16:21.437,In_Position_Sitting,annotator,POSTURE
2022-02-07 12:16:25.437,2022-02-07 12:33:03.525,In_Position_Sitting,annotator,POSTURE
2022-02-07 12:33:03.525,2022-02-07 12:41:30.562,In_Position_Sitting,annotator,POSTURE
2022-02-07 12:41:30.562,2022-02-07 12:43:41.575,In_Position_Sitting,annotator,POSTURE
2022-02-07 12:43:47.575,2022-02-07 13:26:02.787,In_Position_Sitting,annotator,POSTURE
2022-02-07 13:26:03.787,2022-02-07 13:26:10.787,In_Position_Upright,annotator,POSTURE
2022-02-07 13:26:10.787,2022-02-07 13:27:11.787,In_Position_Upright,annotator,POSTURE
2022-02-07 13:27:27.787,2022-02-07 13:28:25.787,In_Position_Upright,annotator,POSTURE
2022-02-07 13:28:25.787,2022-02-07 13:29:23.800,In_Position_Upright,annotator,POSTURE
2022-02-07 13:29:23.800,2022-02-07 13:29:58.800,In_Position_Upright,annotator,POSTURE
2022-02-07 13:29:58.800,2022-02-07 13:30:02.800,In_Position_Upright,annotator,POSTURE
2022-02-07 13:30:02.800,2022-02-07 13:30:51.800,In_Position_Upright,annotator,POSTURE
2022-02-07 13:30:52.800,2022-02-07 13:30:56.800,In_Position_Upright,annotator,POSTURE
2022-02-07 13:30:56.800,2022-02-07 13:31:16.812,In_Position_Upright,annotator,POSTURE
2022-02-07 13:31:16.812,2022-02-07 13:36:03.825,In_Position_Upright,annotator,POSTURE
2022-02-07 13:36:06.825,2022-02-07 13:38:59.850,In_Position_Sitting,annotator,POSTURE
2022-02-07 13:38:59.850,2022-02-07 13:43:05.862,In_Position_Sitting,annotator,POSTURE
2022-02-07 13:43:05.862,2022-02-07 13:44:56.875,In_Position_Sitting,annotator,POSTURE
2022-02-07 13:44:56.875,2022-02-07 13:45:14.875,In_Position_Upright,annotator,POSTURE
2022-02-07 13:45:14.875,2022-02-07 13:46:29.887,In_Position_Upright,annotator,POSTURE
2022-02-07 13:46:29.887,2022-02-07 13:46:50.887,In_Position_Upright,annotator,POSTURE
2022-02-07 13:46:50.887,2022-02-07 13:50:22.900,In_Position_Upright,annotator,POSTURE
