START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-02-17 07:25:58.912,2022-02-17 07:26:33.912,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:26:33.912,2022-02-17 07:26:36.912,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:26:36.912,2022-02-17 07:26:45.912,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:26:45.912,2022-02-17 07:27:05.912,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:27:05.912,2022-02-17 07:27:36.912,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:27:36.912,2022-02-17 07:28:05.912,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:28:05.912,2022-02-17 07:28:11.912,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:28:11.912,2022-02-17 07:28:14.912,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:28:14.912,2022-02-17 07:28:24.912,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:28:24.912,2022-02-17 07:28:31.912,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:28:31.912,2022-02-17 07:28:39.912,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:28:39.912,2022-02-17 07:28:48.912,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-17 07:28:48.912,2022-02-17 07:32:51.900,Located_Indoors/Holding_Solid_Food/Browsing_Computer,annotator,Behavioral Parameters
2022-02-17 07:32:51.900,2022-02-17 07:33:03.900,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-02-17 07:33:03.900,2022-02-17 07:33:20.900,Located_Indoors/Browsing_Computer/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:33:20.900,2022-02-17 07:33:23.900,Located_Indoors/Browsing_Computer/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:33:23.900,2022-02-17 07:33:54.900,Located_Indoors/Browsing_Computer/Holding_Drink,annotator,Behavioral Parameters
2022-02-17 07:33:54.900,2022-02-17 07:37:54.887,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-02-17 07:37:54.887,2022-02-17 07:38:24.887,Located_Indoors/Browsing_Computer/Holding_Drink,annotator,Behavioral Parameters
2022-02-17 07:38:24.887,2022-02-17 07:39:18.887,Located_Indoors/Browsing_Computer/Holding_Drink,annotator,Behavioral Parameters
2022-02-17 07:39:18.887,2022-02-17 07:39:55.887,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-02-17 07:39:55.887,2022-02-17 07:39:59.887,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:39:59.887,2022-02-17 07:40:09.887,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:40:09.887,2022-02-17 07:40:12.887,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:40:12.887,2022-02-17 07:40:25.887,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:40:25.887,2022-02-17 07:40:31.887,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:40:31.887,2022-02-17 07:40:42.887,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:40:42.887,2022-02-17 07:41:42.887,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:41:42.887,2022-02-17 07:41:48.887,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:41:48.887,2022-02-17 07:41:57.887,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:41:57.887,2022-02-17 07:42:04.887,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:42:04.887,2022-02-17 07:42:09.887,Located_Indoors/Holding_Other_Object_Light/BP_Other,annotator,Behavioral Parameters
2022-02-17 07:42:09.887,2022-02-17 07:42:15.887,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:42:15.887,2022-02-17 07:42:19.875,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:42:19.875,2022-02-17 07:43:33.875,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:43:33.875,2022-02-17 07:43:54.875,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:43:54.875,2022-02-17 07:43:55.875,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:43:55.875,2022-02-17 07:44:02.875,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:44:02.875,2022-02-17 07:44:07.875,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:44:07.875,2022-02-17 07:44:09.875,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:44:09.875,2022-02-17 07:44:23.875,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:44:23.875,2022-02-17 07:44:29.875,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:44:29.875,2022-02-17 07:44:40.875,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:44:40.875,2022-02-17 07:44:45.875,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:44:45.875,2022-02-17 07:44:47.875,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-17 07:44:47.875,2022-02-17 07:44:56.875,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-17 07:44:56.875,2022-02-17 07:44:59.875,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-17 07:44:59.875,2022-02-17 07:45:01.875,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light/Texting/Browsing_Phone/BP_Other,annotator,Behavioral Parameters
2022-02-17 07:45:01.875,2022-02-17 07:45:11.875,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-17 07:45:11.875,2022-02-17 07:45:40.875,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:45:40.875,2022-02-17 07:45:44.875,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:45:44.875,2022-02-17 07:46:01.875,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-17 07:46:01.875,2022-02-17 07:46:09.875,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-17 07:46:09.875,2022-02-17 07:46:40.875,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-17 07:46:40.875,2022-02-17 07:46:43.875,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-17 07:46:43.875,2022-02-17 07:46:50.875,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-17 07:46:50.875,2022-02-17 07:46:52.875,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-17 07:46:52.875,2022-02-17 07:50:18.862,Carrying_Bag_On_Shoulder/Back_Light/Located_Outdoors,annotator,Behavioral Parameters
2022-02-17 07:50:18.862,2022-02-17 07:50:21.862,Carrying_Bag_On_Shoulder/Back_Light/Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:50:21.862,2022-02-17 07:50:35.862,Carrying_Bag_On_Shoulder/Back_Light/Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:50:35.862,2022-02-17 07:50:38.862,Carrying_Bag_On_Shoulder/Back_Light/Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:50:38.862,2022-02-17 07:50:39.862,Carrying_Bag_On_Shoulder/Back_Light/Located_Indoors/BP_Other,annotator,Behavioral Parameters
2022-02-17 07:50:39.862,2022-02-17 07:50:58.862,Carrying_Bag_On_Shoulder/Back_Light/Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:50:58.862,2022-02-17 07:51:00.862,Carrying_Bag_On_Shoulder/Back_Light/Located_Indoors/BP_Other,annotator,Behavioral Parameters
2022-02-17 07:51:00.862,2022-02-17 07:51:13.862,Carrying_Bag_On_Shoulder/Back_Light/Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:51:13.862,2022-02-17 07:51:19.862,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:51:19.862,2022-02-17 07:51:32.862,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:51:32.862,2022-02-17 07:52:24.862,Located_Indoors/Holding_Other_Object_Light/BP_Other,annotator,Behavioral Parameters
2022-02-17 07:52:24.862,2022-02-17 07:52:33.862,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:52:33.862,2022-02-17 07:52:41.862,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2022-02-17 07:52:41.862,2022-02-17 07:52:50.862,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:52:50.862,2022-02-17 07:58:37.850,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:58:37.850,2022-02-17 07:58:44.850,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:58:44.850,2022-02-17 07:59:09.837,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 07:59:09.837,2022-02-17 07:59:29.837,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 07:59:29.837,2022-02-17 07:59:55.837,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2022-02-17 07:59:55.837,2022-02-17 08:00:08.837,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 08:00:08.837,2022-02-17 08:05:05.825,Located_Indoors/Holding_Other_Object_Light/Handwriting,annotator,Behavioral Parameters
2022-02-17 08:05:05.825,2022-02-17 08:05:11.825,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 08:05:11.825,2022-02-17 08:06:00.825,Located_Indoors/Holding_Other_Object_Light/Handwriting,annotator,Behavioral Parameters
2022-02-17 08:06:00.825,2022-02-17 08:07:16.825,Located_Indoors/Holding_Other_Object_Light/Handwriting,annotator,Behavioral Parameters
2022-02-17 08:07:16.825,2022-02-17 08:07:48.825,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 08:07:48.825,2022-02-17 08:09:27.825,Located_Indoors/Holding_Other_Object_Light/Handwriting,annotator,Behavioral Parameters
2022-02-17 08:09:27.825,2022-02-17 08:09:34.825,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 08:09:34.825,2022-02-17 08:10:11.812,Located_Indoors/Holding_Other_Object_Light/Handwriting,annotator,Behavioral Parameters
2022-02-17 08:10:11.812,2022-02-17 08:10:16.812,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 08:10:16.812,2022-02-17 08:10:24.812,Located_Indoors/Holding_Other_Object_Light/Holding_Drink,annotator,Behavioral Parameters
2022-02-17 08:10:24.812,2022-02-17 08:13:01.812,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 08:13:01.812,2022-02-17 08:13:04.812,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 08:13:04.812,2022-02-17 08:13:08.812,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 08:13:08.812,2022-02-17 08:13:11.812,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 08:13:11.812,2022-02-17 08:14:43.812,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 08:14:43.812,2022-02-17 08:15:24.800,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-17 08:15:24.800,2022-02-17 08:15:42.800,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 08:15:42.800,2022-02-17 08:15:44.800,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 08:15:44.800,2022-02-17 08:15:58.800,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 08:15:58.800,2022-02-17 08:19:55.800,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-17 08:19:55.800,2022-02-17 08:21:06.787,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 08:21:06.787,2022-02-17 08:21:08.787,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 08:21:08.787,2022-02-17 08:21:12.787,Located_Indoors/Holding_Other_Object_Light/Handwriting,annotator,Behavioral Parameters
2022-02-17 08:21:12.787,2022-02-17 08:21:40.787,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 08:21:40.787,2022-02-17 08:21:52.787,Located_Indoors/Holding_Other_Object_Light/Holding_Drink,annotator,Behavioral Parameters
2022-02-17 08:21:52.787,2022-02-17 08:22:20.787,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 08:22:20.787,2022-02-17 08:22:49.787,Located_Indoors/Holding_Other_Object_Light/Handwriting,annotator,Behavioral Parameters
2022-02-17 08:22:49.787,2022-02-17 08:24:12.787,Located_Indoors,annotator,Behavioral Parameters
2022-02-17 08:24:12.787,2022-02-17 08:24:25.787,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-17 08:24:25.787,2022-02-17 08:24:32.787,Located_Indoors/Holding_Other_Object_Light/Handwriting,annotator,Behavioral Parameters
