START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-02-18 08:04:29.950,2022-02-18 08:04:57.950,Synchronizing_Sensors,annotator,PA TYPE
2022-02-18 08:05:04.950,2022-02-18 08:05:30.950,Sitting_With_Movement,annotator,PA TYPE
2022-02-18 08:05:30.950,2022-02-18 08:06:22.950,Sitting_With_Movement,annotator,PA TYPE
2022-02-18 08:06:31.950,2022-02-18 08:06:56.950,Sitting_With_Movement,annotator,PA TYPE
2022-02-18 08:06:57.950,2022-02-18 08:11:12.937,Sitting_With_Movement,annotator,PA TYPE
2022-02-18 08:11:14.937,2022-02-18 08:26:15.887,Sitting_With_Movement,annotator,PA TYPE
2022-02-18 08:26:16.887,2022-02-18 08:27:08.887,Sitting_With_Movement,annotator,PA TYPE
2022-02-18 08:27:11.887,2022-02-18 08:30:32.875,Sitting_With_Movement,annotator,PA TYPE
2022-02-18 08:30:35.875,2022-02-18 08:31:23.875,Sitting_With_Movement,annotator,PA TYPE
2022-02-18 08:31:27.875,2022-02-18 08:36:17.862,Sitting_With_Movement,annotator,PA TYPE
2022-02-18 08:36:20.862,2022-02-18 08:36:51.850,Sitting_With_Movement,annotator,PA TYPE
2022-02-18 08:36:55.850,2022-02-18 08:43:03.837,Sitting_With_Movement,annotator,PA TYPE
2022-02-18 08:43:11.837,2022-02-18 08:46:51.825,Sitting_With_Movement,annotator,PA TYPE
2022-02-18 08:46:56.825,2022-02-18 08:48:44.825,Sitting_With_Movement,annotator,PA TYPE
2022-02-18 08:48:47.825,2022-02-18 09:21:42.725,Sitting_With_Movement,annotator,PA TYPE
2022-02-18 09:21:46.725,2022-02-18 09:21:51.725,Standing_With_Movement,annotator,PA TYPE
2022-02-18 09:21:53.725,2022-02-18 09:21:57.725,Puttering_Around,annotator,PA TYPE
2022-02-18 09:22:00.725,2022-02-18 09:22:10.725,Standing_With_Movement,annotator,PA TYPE
2022-02-18 09:22:12.725,2022-02-18 09:22:37.712,Puttering_Around,annotator,PA TYPE
2022-02-18 09:22:37.712,2022-02-18 09:23:10.712,Standing_With_Movement,annotator,PA TYPE
2022-02-18 09:23:10.712,2022-02-18 09:23:15.712,Walking,annotator,PA TYPE
2022-02-18 09:23:17.712,2022-02-18 09:24:10.712,Brushing_Teeth,annotator,PA TYPE
2022-02-18 09:24:11.712,2022-02-18 09:24:18.712,Walking,annotator,PA TYPE
2022-02-18 09:24:20.712,2022-02-18 09:24:56.712,Standing_With_Movement,annotator,PA TYPE
2022-02-18 09:24:59.712,2022-02-18 09:25:34.712,Standing_With_Movement,annotator,PA TYPE
2022-02-18 09:25:47.712,2022-02-18 09:27:09.700,Standing_With_Movement,annotator,PA TYPE
2022-02-18 09:27:13.700,2022-02-18 09:27:34.700,Standing_With_Movement,annotator,PA TYPE
2022-02-18 09:27:37.700,2022-02-18 09:29:37.700,Sitting_With_Movement,annotator,PA TYPE
2022-02-18 09:29:42.700,2022-02-18 09:30:05.700,Standing_With_Movement,annotator,PA TYPE
2022-02-18 09:30:06.700,2022-02-18 09:30:32.700,Standing_With_Movement,annotator,PA TYPE
2022-02-18 09:30:33.700,2022-02-18 09:32:57.687,Standing_With_Movement,annotator,PA TYPE
2022-02-18 09:32:58.687,2022-02-18 09:33:10.687,Puttering_Around,annotator,PA TYPE
2022-02-18 09:33:11.687,2022-02-18 09:33:47.687,Puttering_Around,annotator,PA TYPE
2022-02-18 09:33:47.687,2022-02-18 09:34:08.687,Walking,annotator,PA TYPE
2022-02-18 09:34:09.687,2022-02-18 09:34:20.687,Walking_Down_Stairs,annotator,PA TYPE
2022-02-18 09:34:21.687,2022-02-18 09:35:11.675,Walking,annotator,PA TYPE
2022-02-18 09:35:14.675,2022-02-18 09:39:20.662,Walking,annotator,PA TYPE
2022-02-18 09:39:21.662,2022-02-18 09:39:29.662,Walking,annotator,PA TYPE
