START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-02-23 10:19:49.325,2022-02-23 10:20:04.325,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 10:20:05.325,2022-02-23 10:20:28.325,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 10:20:29.325,2022-02-23 10:20:37.325,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 10:20:37.325,2022-02-23 10:22:41.312,Holding_Other_Object_Light/Located_Outdoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 10:22:41.312,2022-02-23 10:25:40.300,Holding_Other_Object_Light/Located_Outdoors,annotator,Behavioral Parameters
2022-02-23 10:25:41.300,2022-02-23 10:25:58.300,Holding_Other_Object_Light/Located_Outdoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 10:25:58.300,2022-02-23 10:28:01.300,Holding_Other_Object_Light/Located_Outdoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 10:28:01.300,2022-02-23 10:28:44.287,Holding_Other_Object_Light/Located_Outdoors,annotator,Behavioral Parameters
2022-02-23 10:28:44.287,2022-02-23 10:28:49.287,Holding_Other_Object_Light/Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 10:28:49.287,2022-02-23 10:29:09.287,Holding_Other_Object_Light/Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 10:29:09.287,2022-02-23 10:30:17.287,Holding_Other_Object_Light/Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 10:30:17.287,2022-02-23 10:31:34.275,Holding_Other_Object_Light/Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 10:31:34.275,2022-02-23 11:13:04.112,Located_Indoors,annotator,Behavioral Parameters
2022-02-23 11:13:04.112,2022-02-23 11:22:03.075,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-02-23 11:22:03.075,2022-02-23 11:36:30.012,Located_Indoors,annotator,Behavioral Parameters
2022-02-23 11:36:30.012,2022-02-23 11:36:42.012,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 11:36:42.012,2022-02-23 11:36:50.012,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 11:36:50.012,2022-02-23 11:38:16.012,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light/In_Conversation,annotator,Behavioral Parameters
2022-02-23 11:38:16.012,2022-02-23 11:39:20.000,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 11:39:20.000,2022-02-23 11:41:00.000,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 11:41:00.000,2022-02-23 11:41:54.987,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 11:41:54.987,2022-02-23 11:42:25.987,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 11:42:25.987,2022-02-23 11:42:41.987,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 11:42:41.987,2022-02-23 11:43:10.987,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 11:43:10.987,2022-02-23 11:43:18.987,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light/Located_Outdoors,annotator,Behavioral Parameters
2022-02-23 11:43:18.987,2022-02-23 11:44:51.987,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light/Located_Outdoors,annotator,Behavioral Parameters
2022-02-23 11:44:52.987,2022-02-23 11:45:11.975,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 11:45:11.975,2022-02-23 11:49:45.962,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 11:49:45.962,2022-02-23 11:50:33.962,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light/In_Conversation,annotator,Behavioral Parameters
2022-02-23 11:50:33.962,2022-02-23 11:51:14.950,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 11:51:14.950,2022-02-23 11:51:53.950,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 11:51:54.950,2022-02-23 11:53:16.950,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 11:53:16.950,2022-02-23 11:58:13.925,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 11:58:13.925,2022-02-23 11:59:06.925,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 11:59:06.925,2022-02-23 11:59:38.925,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 11:59:39.925,2022-02-23 12:00:01.925,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 12:00:01.925,2022-02-23 12:01:00.912,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 12:01:00.912,2022-02-23 12:01:45.912,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 12:01:45.912,2022-02-23 12:02:09.912,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 12:02:09.912,2022-02-23 12:03:18.900,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 12:03:18.900,2022-02-23 12:10:19.875,Located_Indoors/On_Video_Call/FaceTime/In_Conversation,annotator,Behavioral Parameters
2022-02-23 12:10:19.875,2022-02-23 12:11:24.875,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 12:11:49.875,2022-02-23 12:12:16.875,Located_Indoors/Texting/Browsing_Phone/Browsing_Computer,annotator,Behavioral Parameters
2022-02-23 12:12:16.875,2022-02-23 12:13:20.862,Located_Indoors,annotator,Behavioral Parameters
2022-02-23 12:13:20.862,2022-02-23 12:14:21.862,Located_Indoors,annotator,Behavioral Parameters
2022-02-23 12:14:27.862,2022-02-23 12:14:31.862,Located_Indoors,annotator,Behavioral Parameters
2022-02-23 12:14:31.862,2022-02-23 12:14:42.862,Located_Indoors,annotator,Behavioral Parameters
2022-02-23 12:14:42.862,2022-02-23 12:15:09.862,Located_Indoors,annotator,Behavioral Parameters
2022-02-23 12:15:09.862,2022-02-23 12:15:28.862,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 12:15:28.862,2022-02-23 12:16:32.850,Holding_Other_Object_Light/Located_Outdoors,annotator,Behavioral Parameters
2022-02-23 12:16:32.850,2022-02-23 12:17:09.850,Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters
2022-02-23 12:17:11.850,2022-02-23 12:17:23.850,Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters
2022-02-23 12:17:23.850,2022-02-23 12:17:54.850,Holding_Other_Object_Light/Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-02-23 12:18:04.850,2022-02-23 12:27:00.812,Holding_Other_Object_Light/Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 12:27:00.812,2022-02-23 12:28:53.800,Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters
2022-02-23 12:29:05.800,2022-02-23 12:29:29.800,Holding_Other_Object_Light/Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 12:29:29.800,2022-02-23 12:29:36.800,Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters
2022-02-23 12:29:38.800,2022-02-23 12:30:43.800,Holding_Other_Object_Light/Located_Outdoors,annotator,Behavioral Parameters
2022-02-23 12:30:43.800,2022-02-23 12:30:59.787,Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters
2022-02-23 12:31:00.787,2022-02-23 12:31:15.787,Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters
2022-02-23 12:31:15.787,2022-02-23 12:31:37.787,Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters
2022-02-23 12:31:38.787,2022-02-23 12:32:42.787,Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters
2022-02-23 12:32:42.787,2022-02-23 12:34:37.775,Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters
2022-02-23 12:34:38.775,2022-02-23 12:49:57.712,Holding_Other_Object_Light/Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-02-23 12:50:29.712,2022-02-23 12:50:51.712,Holding_Other_Object_Light/Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2022-02-23 12:50:51.712,2022-02-23 12:51:00.712,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-02-23 12:51:00.712,2022-02-23 12:51:10.712,Located_Indoors,annotator,Behavioral Parameters
2022-02-23 12:51:10.712,2022-02-23 13:21:48.587,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-02-23 13:21:48.587,2022-02-23 13:22:15.587,Located_Indoors/Browsing_Computer/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 13:22:53.587,2022-02-23 13:24:10.575,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-02-23 13:24:35.575,2022-02-23 13:27:33.562,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-02-23 13:27:33.562,2022-02-23 13:29:06.562,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 13:29:13.550,2022-02-23 13:30:43.550,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 13:30:56.550,2022-02-23 13:38:33.512,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-02-23 13:38:33.512,2022-02-23 13:44:12.500,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-02-23 13:44:12.500,2022-02-23 13:44:51.487,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2022-02-23 13:44:51.487,2022-02-23 13:45:08.487,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2022-02-23 13:45:08.487,2022-02-23 13:45:53.487,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2022-02-23 13:45:53.487,2022-02-23 13:53:13.462,Located_Indoors/Browsing_Computer/Legs_Crossed,annotator,Behavioral Parameters
2022-02-23 13:53:13.462,2022-02-23 13:54:11.450,Located_Indoors/In_Conversation/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 13:54:11.450,2022-02-23 13:54:51.450,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 13:54:59.450,2022-02-23 13:56:32.450,Located_Indoors/Holding_Other_Object_Light/In_Conversation,annotator,Behavioral Parameters
2022-02-23 13:56:32.450,2022-02-23 13:56:46.450,Located_Indoors/Holding_Other_Object_Light/In_Conversation/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 13:56:47.450,2022-02-23 13:57:08.437,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 13:57:09.437,2022-02-23 13:57:27.437,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 13:57:27.437,2022-02-23 13:57:54.437,Located_Indoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 13:57:54.437,2022-02-23 14:04:40.412,Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light/Located_Outdoors,annotator,Behavioral Parameters
2022-02-23 14:04:53.412,2022-02-23 14:12:49.375,Located_Outdoors/Browsing_Computer,annotator,Behavioral Parameters
2022-02-23 14:12:49.375,2022-02-23 14:14:26.375,Located_Outdoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 14:14:26.375,2022-02-23 14:29:12.312,Located_Outdoors/Browsing_Computer,annotator,Behavioral Parameters
2022-02-23 14:29:12.312,2022-02-23 14:29:55.312,Located_Outdoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 14:29:55.312,2022-02-23 14:32:46.300,Located_Outdoors/Browsing_Computer,annotator,Behavioral Parameters
2022-02-23 14:32:46.300,2022-02-23 14:34:43.287,Located_Outdoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 14:34:43.287,2022-02-23 14:36:39.287,Located_Outdoors/Browsing_Computer,annotator,Behavioral Parameters
2022-02-23 14:36:39.287,2022-02-23 14:36:57.275,Located_Outdoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 14:37:05.275,2022-02-23 14:37:28.275,Located_Outdoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 14:37:39.275,2022-02-23 14:40:32.262,Located_Outdoors/Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 14:40:32.262,2022-02-23 14:41:15.262,Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light/Located_Indoors,annotator,Behavioral Parameters
2022-02-23 14:41:15.262,2022-02-23 14:41:51.262,Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light/Located_Indoors,annotator,Behavioral Parameters
2022-02-23 14:41:51.262,2022-02-23 14:42:03.262,Holding_Other_Object_Light/Carrying_Bag_On_Shoulder/Back_Light/Located_Indoors,annotator,Behavioral Parameters
2022-02-23 14:42:03.262,2022-02-23 15:58:40.950,Located_Indoors,annotator,Behavioral Parameters
2022-02-23 15:58:40.950,2022-02-23 15:59:26.950,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 15:59:26.950,2022-02-23 15:59:47.937,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-02-23 15:59:47.937,2022-02-23 16:00:33.937,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:00:33.937,2022-02-23 16:01:03.937,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:01:03.937,2022-02-23 16:10:50.900,Located_Outdoors,annotator,Behavioral Parameters
2022-02-23 16:10:50.900,2022-02-23 16:11:02.900,Located_Indoors,annotator,Behavioral Parameters
2022-02-23 16:11:12.900,2022-02-23 16:11:36.900,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 16:11:39.900,2022-02-23 16:12:03.887,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:12:03.887,2022-02-23 16:12:07.887,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:12:07.887,2022-02-23 16:12:14.887,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:12:14.887,2022-02-23 16:12:59.887,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 16:12:59.887,2022-02-23 16:13:44.887,Located_Indoors,annotator,Behavioral Parameters
2022-02-23 16:13:44.887,2022-02-23 16:14:44.887,Located_Indoors,annotator,Behavioral Parameters
2022-02-23 16:15:00.875,2022-02-23 16:15:07.875,Located_Indoors/Texting/Browsing_Phone/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:15:07.875,2022-02-23 16:22:17.850,BP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters
2022-02-23 16:22:21.850,2022-02-23 16:22:50.850,Located_Indoors,annotator,Behavioral Parameters
2022-02-23 16:22:50.850,2022-02-23 16:22:58.850,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:22:58.850,2022-02-23 16:23:17.850,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:23:17.850,2022-02-23 16:23:29.850,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:23:29.850,2022-02-23 16:24:35.837,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:24:35.837,2022-02-23 16:25:57.837,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 16:25:57.837,2022-02-23 16:27:02.837,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-02-23 16:27:02.837,2022-02-23 16:27:18.825,Located_Indoors/Holding_Solid_Food/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-23 16:27:18.825,2022-02-23 16:28:44.825,Located_Indoors,annotator,Behavioral Parameters
2022-02-23 16:28:44.825,2022-02-23 16:29:08.825,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:29:08.825,2022-02-23 16:29:22.825,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:29:22.825,2022-02-23 16:30:41.812,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:30:41.812,2022-02-23 16:30:59.812,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:30:59.812,2022-02-23 16:31:33.812,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:31:33.812,2022-02-23 16:31:43.812,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:31:43.812,2022-02-23 16:32:46.812,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:32:46.812,2022-02-23 16:33:08.812,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:33:08.812,2022-02-23 16:34:23.800,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:34:23.800,2022-02-23 16:34:44.800,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:34:44.800,2022-02-23 16:35:40.800,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:35:40.800,2022-02-23 16:36:11.800,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:36:11.800,2022-02-23 16:36:36.787,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-23 16:36:39.787,2022-02-23 16:38:52.787,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-02-23 16:39:13.787,2022-02-23 16:40:13.775,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
