START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-02-24 09:16:07.862,2022-02-24 09:16:32.237,Free_Living,annotator,Experimental situation
2022-02-24 09:16:42.237,2022-02-24 09:16:52.237,Free_Living,annotator,Experimental situation
2022-02-24 09:16:58.237,2022-02-24 09:18:20.237,Free_Living,annotator,Experimental situation
2022-02-24 09:18:24.237,2022-02-24 09:19:51.225,Free_Living,annotator,Experimental situation
2022-02-24 09:19:53.225,2022-02-24 09:20:02.225,Free_Living,annotator,Experimental situation
2022-02-24 09:20:03.225,2022-02-24 09:20:26.225,Free_Living,annotator,Experimental situation
2022-02-24 09:20:29.225,2022-02-24 09:21:09.225,Free_Living,annotator,Experimental situation
2022-02-24 09:21:13.225,2022-02-24 09:22:23.225,Free_Living,annotator,Experimental situation
2022-02-24 09:22:25.225,2022-02-24 09:22:42.225,Free_Living,annotator,Experimental situation
2022-02-24 09:22:46.225,2022-02-24 09:30:08.200,Free_Living,annotator,Experimental situation
2022-02-24 09:30:10.200,2022-02-24 09:31:06.200,Free_Living,annotator,Experimental situation
2022-02-24 09:31:11.200,2022-02-24 09:32:10.200,Free_Living,annotator,Experimental situation
2022-02-24 09:32:10.200,2022-02-24 09:32:10.200,Free_Living,annotator,Experimental situation
2022-02-24 09:32:12.200,2022-02-24 09:32:41.187,Free_Living,annotator,Experimental situation
2022-02-24 09:32:45.187,2022-02-24 09:34:15.187,Free_Living,annotator,Experimental situation
2022-02-24 09:34:18.187,2022-02-24 09:34:56.187,Free_Living,annotator,Experimental situation
2022-02-24 09:35:07.187,2022-02-24 09:35:21.187,Free_Living,annotator,Experimental situation
2022-02-24 09:35:32.187,2022-02-24 09:37:17.175,Free_Living,annotator,Experimental situation
2022-02-24 09:37:26.175,2022-02-24 09:37:44.175,Free_Living,annotator,Experimental situation
2022-02-24 09:37:57.175,2022-02-24 09:38:14.175,Free_Living,annotator,Experimental situation
2022-02-24 09:38:29.175,2022-02-24 09:41:49.162,Free_Living,annotator,Experimental situation
2022-02-24 09:41:55.162,2022-02-24 09:42:37.162,Free_Living,annotator,Experimental situation
2022-02-24 09:42:41.162,2022-02-24 09:43:03.162,Free_Living,annotator,Experimental situation
2022-02-24 09:43:07.162,2022-02-24 09:43:12.162,Free_Living,annotator,Experimental situation
2022-02-24 09:43:14.162,2022-02-24 09:47:10.150,Free_Living,annotator,Experimental situation
2022-02-24 09:47:21.150,2022-02-24 09:50:15.150,Free_Living,annotator,Experimental situation
2022-02-24 09:50:19.150,2022-02-24 09:50:35.150,Free_Living,annotator,Experimental situation
2022-02-24 09:50:40.137,2022-02-24 09:52:13.137,Free_Living,annotator,Experimental situation
2022-02-24 09:52:17.137,2022-02-24 09:52:51.137,Free_Living,annotator,Experimental situation
2022-02-24 09:52:57.137,2022-02-24 09:54:34.137,Free_Living,annotator,Experimental situation
2022-02-24 09:54:40.137,2022-02-24 09:55:28.125,Free_Living,annotator,Experimental situation
2022-02-24 09:55:29.125,2022-02-24 09:57:50.125,Free_Living,annotator,Experimental situation
2022-02-24 09:57:51.125,2022-02-24 09:58:28.125,Free_Living,annotator,Experimental situation
2022-02-24 09:58:35.125,2022-02-24 09:58:57.125,Free_Living,annotator,Experimental situation
2022-02-24 09:59:00.125,2022-02-24 10:01:51.112,Free_Living,annotator,Experimental situation
2022-02-24 10:01:57.112,2022-02-24 10:19:19.062,Free_Living,annotator,Experimental situation
2022-02-24 10:19:29.062,2022-02-24 10:20:14.062,Free_Living,annotator,Experimental situation
2022-02-24 10:20:18.062,2022-02-24 10:20:33.062,Free_Living,annotator,Experimental situation
2022-02-24 10:20:34.062,2022-02-24 10:20:57.062,Free_Living,annotator,Experimental situation
2022-02-24 10:20:58.062,2022-02-24 10:21:03.062,Free_Living,annotator,Experimental situation
2022-02-24 10:21:56.062,2022-02-24 10:22:04.062,Free_Living,annotator,Experimental situation
2022-02-24 10:22:05.062,2022-02-24 10:22:14.050,Free_Living,annotator,Experimental situation
2022-02-24 10:22:15.050,2022-02-24 10:22:18.050,Free_Living,annotator,Experimental situation
2022-02-24 10:22:19.050,2022-02-24 10:22:24.050,Free_Living,annotator,Experimental situation
2022-02-24 10:22:29.050,2022-02-24 10:22:33.050,Free_Living,annotator,Experimental situation
2022-02-24 10:22:36.050,2022-02-24 10:22:39.050,Free_Living,annotator,Experimental situation
2022-02-24 10:22:43.050,2022-02-24 10:22:45.050,Free_Living,annotator,Experimental situation
2022-02-24 10:22:52.050,2022-02-24 10:27:03.037,Free_Living,annotator,Experimental situation
2022-02-24 10:27:04.037,2022-02-24 10:27:41.037,Free_Living,annotator,Experimental situation
2022-02-24 10:27:42.037,2022-02-24 10:28:55.037,Free_Living,annotator,Experimental situation
2022-02-24 10:28:55.037,2022-02-24 10:28:58.037,Free_Living,annotator,Experimental situation
2022-02-24 10:28:58.037,2022-02-24 10:30:07.037,Free_Living,annotator,Experimental situation
2022-02-24 10:30:16.037,2022-02-24 10:30:19.037,Free_Living,annotator,Experimental situation
2022-02-24 10:30:20.037,2022-02-24 10:30:28.037,Free_Living,annotator,Experimental situation
2022-02-24 10:30:29.037,2022-02-24 10:31:22.025,Free_Living,annotator,Experimental situation
2022-02-24 10:31:31.025,2022-02-24 10:32:27.025,Free_Living,annotator,Experimental situation
2022-02-24 10:32:31.025,2022-02-24 10:34:01.025,Free_Living,annotator,Experimental situation
2022-02-24 10:34:02.025,2022-02-24 10:34:16.025,Free_Living,annotator,Experimental situation
2022-02-24 10:34:18.025,2022-02-24 10:35:07.025,Free_Living,annotator,Experimental situation
2022-02-24 10:35:13.025,2022-02-24 10:46:11.987,Free_Living,annotator,Experimental situation
2022-02-24 10:46:12.987,2022-02-24 10:46:28.987,Free_Living,annotator,Experimental situation
2022-02-24 10:46:30.987,2022-02-24 11:04:00.937,Free_Living,annotator,Experimental situation
2022-02-24 11:04:47.937,2022-02-24 11:32:25.862,Free_Living,annotator,Experimental situation
2022-02-24 11:32:31.862,2022-02-24 11:33:20.862,Free_Living,annotator,Experimental situation
2022-02-24 11:33:20.862,2022-02-24 11:37:03.850,Free_Living,annotator,Experimental situation
2022-02-24 11:37:09.850,2022-02-24 11:37:29.850,Free_Living,annotator,Experimental situation
2022-02-24 11:37:40.850,2022-02-24 11:37:54.850,Free_Living,annotator,Experimental situation
2022-02-24 11:37:54.850,2022-02-24 11:38:06.850,Free_Living,annotator,Experimental situation
2022-02-24 11:38:06.850,2022-02-24 11:38:33.837,Free_Living,annotator,Experimental situation
2022-02-24 11:38:33.837,2022-02-24 11:38:43.837,Free_Living,annotator,Experimental situation
2022-02-24 11:38:43.837,2022-02-24 11:45:08.825,Free_Living,annotator,Experimental situation
2022-02-24 11:45:08.825,2022-02-24 11:45:13.825,Free_Living,annotator,Experimental situation
2022-02-24 11:45:20.825,2022-02-24 11:45:32.825,Free_Living,annotator,Experimental situation
2022-02-24 11:45:32.825,2022-02-24 11:45:38.825,Free_Living,annotator,Experimental situation
2022-02-24 11:45:42.825,2022-02-24 11:46:21.825,Free_Living,annotator,Experimental situation
2022-02-24 11:46:43.825,2022-02-24 11:46:55.825,Free_Living,annotator,Experimental situation
2022-02-24 11:47:12.825,2022-02-24 11:53:40.800,ES_VideoUnavailable/Indecipherable,annotator,Experimental situation
2022-02-24 11:53:46.800,2022-02-24 11:54:22.800,Free_Living,annotator,Experimental situation
2022-02-24 11:54:22.800,2022-02-24 11:55:31.800,Free_Living,annotator,Experimental situation
2022-02-24 11:55:31.800,2022-02-24 11:57:22.787,Free_Living,annotator,Experimental situation
2022-02-24 11:57:22.787,2022-02-24 11:58:25.787,Free_Living,annotator,Experimental situation
2022-02-24 11:58:25.787,2022-02-24 11:59:09.787,Free_Living,annotator,Experimental situation
2022-02-24 11:59:09.787,2022-02-24 11:59:36.787,Free_Living,annotator,Experimental situation
2022-02-24 11:59:36.787,2022-02-24 12:01:21.775,Free_Living,annotator,Experimental situation
2022-02-24 12:01:21.775,2022-02-24 12:01:52.775,Free_Living,annotator,Experimental situation
2022-02-24 12:01:52.775,2022-02-24 12:03:42.775,Free_Living,annotator,Experimental situation
2022-02-24 12:03:42.775,2022-02-24 12:04:53.775,Free_Living,annotator,Experimental situation
2022-02-24 12:04:53.775,2022-02-24 12:05:20.775,Free_Living,annotator,Experimental situation
2022-02-24 12:05:20.775,2022-02-24 12:05:33.762,Free_Living,annotator,Experimental situation
2022-02-24 12:05:37.762,2022-02-24 12:05:56.762,Free_Living,annotator,Experimental situation
2022-02-24 12:05:59.762,2022-02-24 12:06:18.762,Free_Living,annotator,Experimental situation
2022-02-24 12:06:18.762,2022-02-24 12:07:34.762,Free_Living,annotator,Experimental situation
2022-02-24 12:07:34.762,2022-02-24 12:08:07.762,Free_Living,annotator,Experimental situation
2022-02-24 12:08:07.762,2022-02-24 12:08:45.762,Free_Living,annotator,Experimental situation
2022-02-24 12:08:48.762,2022-02-24 12:09:16.762,Free_Living,annotator,Experimental situation
2022-02-24 12:09:16.762,2022-02-24 12:09:28.762,Free_Living,annotator,Experimental situation
2022-02-24 12:09:33.762,2022-02-24 12:09:37.762,Free_Living,annotator,Experimental situation
2022-02-24 12:09:37.762,2022-02-24 12:10:44.750,Free_Living,annotator,Experimental situation
2022-02-24 12:10:44.750,2022-02-24 12:11:44.750,Free_Living,annotator,Experimental situation
2022-02-24 12:11:50.750,2022-02-24 12:12:26.750,Free_Living,annotator,Experimental situation
2022-02-24 12:12:37.750,2022-02-24 12:12:53.750,Free_Living,annotator,Experimental situation
2022-02-24 12:12:53.750,2022-02-24 12:13:14.750,Free_Living,annotator,Experimental situation
2022-02-24 12:13:16.750,2022-02-24 12:16:05.737,Free_Living,annotator,Experimental situation
2022-02-24 12:15:22.737,2022-02-24 12:15:24.737,Free_Living,annotator,Experimental situation
2022-02-24 12:16:05.737,2022-02-24 12:16:50.737,Free_Living,annotator,Experimental situation
