START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-02-28 12:04:00.800,2022-02-28 12:05:29.200,HLB_Other,annotator,HIGH LEVEL BEHAVIOR
2022-02-28 12:05:29.200,2022-02-28 12:08:56.737,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-02-28 12:08:56.737,2022-02-28 12:09:14.037,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-28 12:09:14.037,2022-02-28 12:09:25.562,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-28 12:09:25.562,2022-02-28 12:10:21.287,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-28 12:10:21.287,2022-02-28 12:11:20.862,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-28 12:11:20.862,2022-02-28 12:13:08.475,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-02-28 12:13:08.475,2022-02-28 12:14:59.937,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-28 12:14:59.937,2022-02-28 12:18:52.462,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-28 12:18:52.462,2022-02-28 12:19:11.675,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-28 12:19:11.675,2022-02-28 12:21:39.650,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-02-28 12:21:39.650,2022-02-28 12:22:10.400,Cooking/Prepping_Food/Doing_Dishes,annotator,HIGH LEVEL BEHAVIOR
2022-02-28 12:22:10.400,2022-02-28 12:23:33.025,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-02-28 12:23:33.025,2022-02-28 12:24:11.462,Eating/Dining/Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-02-28 12:24:11.462,2022-02-28 12:25:11.037,Eating/Dining/Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-02-28 12:25:11.037,2022-02-28 12:32:02.275,Eating/Dining/Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
