START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-03-01 11:43:39.725,2022-03-01 11:44:13.712,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 11:44:15.712,2022-03-01 11:45:07.712,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 11:45:08.712,2022-03-01 11:45:17.712,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 11:45:18.712,2022-03-01 11:45:46.712,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 11:45:47.712,2022-03-01 11:47:56.700,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 11:47:59.700,2022-03-01 11:48:22.687,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 11:48:23.687,2022-03-01 11:48:55.687,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 11:48:56.687,2022-03-01 11:49:06.687,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 11:49:06.687,2022-03-01 11:49:47.687,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 11:49:49.687,2022-03-01 11:50:56.675,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-01 11:50:57.675,2022-03-01 11:53:34.662,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-01 11:53:39.662,2022-03-01 11:54:37.650,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 11:54:39.650,2022-03-01 11:56:41.650,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-01 11:56:44.650,2022-03-01 11:57:20.637,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 11:57:24.637,2022-03-01 11:59:10.625,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-01 11:59:21.625,2022-03-01 11:59:52.625,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 11:59:53.625,2022-03-01 12:01:24.612,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 12:01:25.612,2022-03-01 12:01:52.612,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 12:01:53.612,2022-03-01 12:02:39.612,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 12:02:43.612,2022-03-01 12:26:13.475,BP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters
2022-03-01 12:26:27.475,2022-03-01 12:28:05.462,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 12:28:12.462,2022-03-01 12:28:39.462,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 12:28:41.462,2022-03-01 12:31:47.437,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 12:31:51.437,2022-03-01 12:33:56.437,Located_Indoors/Handwriting,annotator,Behavioral Parameters
2022-03-01 12:33:58.425,2022-03-01 12:35:33.425,Located_Indoors/Handwriting,annotator,Behavioral Parameters
2022-03-01 12:35:34.425,2022-03-01 12:36:18.412,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-01 12:36:18.412,2022-03-01 12:36:37.412,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 12:36:37.412,2022-03-01 12:38:09.412,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-03-01 12:38:09.412,2022-03-01 12:38:20.412,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-03-01 12:38:20.412,2022-03-01 12:42:01.387,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-03-01 12:42:01.387,2022-03-01 12:42:18.387,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-03-01 12:42:18.387,2022-03-01 12:42:47.375,Located_Indoors/Texting/Browsing_Phone/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-01 12:42:50.375,2022-03-01 12:43:04.375,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-01 12:43:04.375,2022-03-01 12:43:29.375,Located_Indoors/Holding_Other_Object_Light/In_Conversation/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-01 12:43:29.375,2022-03-01 12:43:42.375,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-01 12:43:42.375,2022-03-01 12:45:17.362,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-01 12:45:27.362,2022-03-01 12:45:58.362,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 12:45:58.362,2022-03-01 12:46:09.362,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2022-03-01 12:46:09.362,2022-03-01 12:47:29.350,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 12:47:29.350,2022-03-01 12:48:12.350,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 12:48:12.350,2022-03-01 12:51:03.337,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 12:51:03.337,2022-03-01 12:51:13.337,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2022-03-01 12:51:13.337,2022-03-01 12:52:51.325,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 12:52:51.325,2022-03-01 12:53:03.325,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2022-03-01 12:53:03.325,2022-03-01 12:59:06.287,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 12:59:06.287,2022-03-01 12:59:20.287,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2022-03-01 12:59:20.287,2022-03-01 13:01:05.275,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-01 13:01:05.275,2022-03-01 13:02:19.275,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 13:02:19.275,2022-03-01 13:03:00.262,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 13:03:02.262,2022-03-01 13:06:19.250,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 13:06:19.250,2022-03-01 13:06:27.250,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2022-03-01 13:06:27.250,2022-03-01 13:08:32.237,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 13:08:32.237,2022-03-01 13:09:14.225,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-01 13:09:14.225,2022-03-01 13:10:21.225,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 13:10:21.225,2022-03-01 13:12:13.212,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-01 13:12:14.212,2022-03-01 13:12:37.212,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-01 13:12:37.212,2022-03-01 13:32:42.100,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-01 13:32:42.100,2022-03-01 13:36:34.075,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 13:36:37.075,2022-03-01 13:37:09.075,Holding_Drink/Holding_Solid_Food,annotator,Behavioral Parameters
2022-03-01 13:37:13.075,2022-03-01 13:39:05.062,Holding_Drink/Holding_Solid_Food,annotator,Behavioral Parameters
2022-03-01 13:39:08.062,2022-03-01 13:45:37.025,Located_Indoors,annotator,Behavioral Parameters
2022-03-01 13:45:37.025,2022-03-01 13:47:03.012,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-01 13:47:03.012,2022-03-01 13:52:34.987,Located_Indoors,annotator,Behavioral Parameters
