START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-03-03 11:52:19.037,2022-03-03 11:53:59.025,Located_Indoors,annotator,Behavioral Parameters
2022-03-03 11:53:59.025,2022-03-03 11:55:45.025,Located_Indoors,annotator,Behavioral Parameters
2022-03-03 11:55:45.025,2022-03-03 11:56:03.025,Located_Indoors,annotator,Behavioral Parameters
2022-03-03 11:56:03.025,2022-03-03 11:56:46.025,Located_Indoors,annotator,Behavioral Parameters
2022-03-03 11:56:49.025,2022-03-03 11:57:00.012,Located_Indoors,annotator,Behavioral Parameters
2022-03-03 11:57:01.012,2022-03-03 11:58:28.012,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-03 11:58:53.012,2022-03-03 11:59:56.012,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-03 11:59:56.012,2022-03-03 12:00:07.012,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-03 12:00:07.012,2022-03-03 12:01:51.000,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-03 12:01:55.000,2022-03-03 12:02:29.000,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-03 12:02:30.000,2022-03-03 12:05:08.987,Located_Indoors,annotator,Behavioral Parameters
2022-03-03 12:05:10.987,2022-03-03 12:05:32.987,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-03 12:05:39.987,2022-03-03 12:06:05.987,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-03 12:06:05.987,2022-03-03 12:06:44.987,Located_Indoors,annotator,Behavioral Parameters
2022-03-03 12:06:45.987,2022-03-03 12:07:04.987,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-03-03 12:07:09.987,2022-03-03 12:07:27.975,Located_Indoors/Holding_Solid_Food/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-03 12:07:28.975,2022-03-03 12:08:06.975,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-03-03 12:08:09.975,2022-03-03 12:08:55.975,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-03 12:08:56.975,2022-03-03 12:09:34.975,Located_Indoors/Texting/Browsing_Phone/Holding_Solid_Food,annotator,Behavioral Parameters
2022-03-03 12:09:35.975,2022-03-03 12:09:41.975,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-03-03 12:09:57.975,2022-03-03 12:10:49.962,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-03 12:10:51.962,2022-03-03 12:11:26.962,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-03-03 12:11:29.962,2022-03-03 12:14:14.950,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-03 12:14:19.950,2022-03-03 12:14:31.950,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-03-03 12:14:32.950,2022-03-03 12:14:47.950,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-03-03 12:14:49.950,2022-03-03 12:15:13.950,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-03 12:15:21.950,2022-03-03 12:19:18.937,Located_Indoors,annotator,Behavioral Parameters
2022-03-03 12:19:21.937,2022-03-03 12:19:33.937,Located_Indoors,annotator,Behavioral Parameters
2022-03-03 12:19:38.937,2022-03-03 12:20:09.937,Located_Indoors,annotator,Behavioral Parameters
2022-03-03 12:20:45.937,2022-03-03 12:25:36.912,Located_Indoors,annotator,Behavioral Parameters
2022-03-03 12:25:42.912,2022-03-03 12:25:59.912,Located_Indoors,annotator,Behavioral Parameters
2022-03-03 12:25:59.912,2022-03-03 12:26:39.912,Located_Indoors,annotator,Behavioral Parameters
2022-03-03 12:26:41.912,2022-03-03 12:26:59.912,Located_Indoors,annotator,Behavioral Parameters
2022-03-03 12:27:00.912,2022-03-03 13:01:43.787,BP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters
