START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-03-11 10:40:50.225,2022-03-11 10:41:29.225,HLB_Other,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 10:41:31.225,2022-03-11 10:46:36.212,Cleaning,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 10:46:40.212,2022-03-11 10:47:48.200,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 10:47:50.200,2022-03-11 10:49:59.200,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 10:50:02.200,2022-03-11 10:50:43.200,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 10:50:47.200,2022-03-11 11:04:31.150,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 11:04:36.150,2022-03-11 11:09:19.137,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 11:09:24.137,2022-03-11 11:12:29.125,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 11:12:33.125,2022-03-11 11:17:18.112,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 11:17:26.112,2022-03-11 11:17:38.112,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 11:17:42.112,2022-03-11 11:18:54.112,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 11:18:56.112,2022-03-11 11:19:33.112,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 11:19:37.112,2022-03-11 11:19:43.112,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 11:19:44.112,2022-03-11 11:19:56.112,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 11:19:57.112,2022-03-11 11:20:03.112,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 11:20:05.112,2022-03-11 11:20:10.112,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 11:20:11.112,2022-03-11 11:20:27.100,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 11:20:28.100,2022-03-11 11:26:53.087,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 11:26:56.087,2022-03-11 11:27:10.087,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 11:27:11.087,2022-03-11 11:29:18.075,,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 11:29:21.075,2022-03-11 11:30:07.075,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-03-11 11:30:10.075,2022-03-11 11:30:26.075,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
