START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-03-23 11:33:57.562,2022-03-23 11:34:25.562,Synchronizing_Sensors,annotator,PA TYPE
2022-03-23 11:34:26.562,2022-03-23 11:35:02.562,Standing_With_Movement,annotator,PA TYPE
2022-03-23 11:35:05.562,2022-03-23 11:36:10.562,Standing_With_Movement,annotator,PA TYPE
2022-03-23 11:36:24.562,2022-03-23 11:50:51.537,Sitting_With_Movement,annotator,PA TYPE
2022-03-23 11:50:58.537,2022-03-23 11:52:57.525,Standing_With_Movement,annotator,PA TYPE
2022-03-23 11:52:59.525,2022-03-23 11:53:24.525,Walking,annotator,PA TYPE
2022-03-23 11:53:25.525,2022-03-23 11:53:36.525,Walking_Down_Stairs,annotator,PA TYPE
2022-03-23 11:53:36.525,2022-03-23 11:53:55.525,Walking_Down_Stairs,annotator,PA TYPE
2022-03-23 11:53:56.525,2022-03-23 11:54:19.525,Walking,annotator,PA TYPE
2022-03-23 11:54:21.525,2022-03-23 11:54:25.525,Walking_Down_Stairs,annotator,PA TYPE
2022-03-23 11:54:25.525,2022-03-23 11:54:34.525,Walking,annotator,PA TYPE
2022-03-23 11:54:35.525,2022-03-23 11:57:23.525,Walking,annotator,PA TYPE
2022-03-23 11:57:25.525,2022-03-23 11:58:17.512,Walking,annotator,PA TYPE
2022-03-23 11:58:20.512,2022-03-23 11:58:42.512,Walking,annotator,PA TYPE
2022-03-23 11:58:51.512,2022-03-23 12:00:40.512,Walking,annotator,PA TYPE
2022-03-23 12:00:45.512,2022-03-23 12:16:16.487,Sitting_With_Movement,annotator,PA TYPE
2022-03-23 12:16:22.487,2022-03-23 12:16:58.487,Walking,annotator,PA TYPE
2022-03-23 12:17:03.487,2022-03-23 12:17:09.487,Walking,annotator,PA TYPE
2022-03-23 12:17:09.487,2022-03-23 12:17:23.487,Walking,annotator,PA TYPE
2022-03-23 12:17:25.475,2022-03-23 12:18:05.475,Walking,annotator,PA TYPE
2022-03-23 12:18:07.475,2022-03-23 12:18:32.475,Walking,annotator,PA TYPE
2022-03-23 12:18:38.475,2022-03-23 12:21:16.475,Walking,annotator,PA TYPE
2022-03-23 12:21:17.475,2022-03-23 12:21:29.475,Walking,annotator,PA TYPE
2022-03-23 12:21:30.475,2022-03-23 12:22:03.475,Walking_Up_Stairs,annotator,PA TYPE
2022-03-23 12:22:05.475,2022-03-23 12:22:16.475,Walking,annotator,PA TYPE
2022-03-23 12:22:21.475,2022-03-23 12:22:38.475,Walking,annotator,PA TYPE
2022-03-23 12:22:42.475,2022-03-23 12:46:12.425,Sitting_With_Movement,annotator,PA TYPE
2022-03-23 12:46:15.425,2022-03-23 12:47:16.425,Walking,annotator,PA TYPE
2022-03-23 12:47:22.425,2022-03-23 12:48:05.425,Walking_Down_Stairs,annotator,PA TYPE
2022-03-23 12:48:08.425,2022-03-23 12:48:12.425,Walking_Down_Stairs,annotator,PA TYPE
2022-03-23 12:48:14.425,2022-03-23 12:48:21.425,Walking,annotator,PA TYPE
2022-03-23 12:48:24.425,2022-03-23 12:49:14.425,Walking,annotator,PA TYPE
2022-03-23 12:49:17.425,2022-03-23 12:49:43.425,Walking,annotator,PA TYPE
2022-03-23 12:49:46.425,2022-03-23 12:50:02.412,Standing_With_Movement,annotator,PA TYPE
2022-03-23 12:50:05.412,2022-03-23 12:50:37.412,Walking,annotator,PA TYPE
2022-03-23 12:50:39.412,2022-03-23 12:51:26.412,Walking,annotator,PA TYPE
2022-03-23 12:51:29.412,2022-03-23 12:51:42.412,Walking,annotator,PA TYPE
2022-03-23 12:51:43.412,2022-03-23 12:52:18.412,Walking_Up_Stairs,annotator,PA TYPE
2022-03-23 12:52:19.412,2022-03-23 12:52:37.412,Walking,annotator,PA TYPE
2022-03-23 12:52:37.412,2022-03-23 13:07:34.387,Sitting_With_Movement,annotator,PA TYPE
2022-03-23 19:52:36.612,2022-03-23 19:53:41.600,Walking,annotator,PA TYPE
2022-03-23 19:53:47.600,2022-03-23 19:54:07.600,Walking,annotator,PA TYPE
2022-03-23 19:54:09.600,2022-03-23 19:54:45.600,Walking_Down_Stairs,annotator,PA TYPE
2022-03-23 19:54:46.600,2022-03-23 19:54:53.600,Walking,annotator,PA TYPE
2022-03-23 19:54:54.600,2022-03-23 20:00:04.587,Walking,annotator,PA TYPE
2022-03-23 20:00:09.587,2022-03-23 20:00:23.587,Walking,annotator,PA TYPE
2022-03-23 20:00:24.587,2022-03-23 20:00:48.587,Standing_With_Movement,annotator,PA TYPE
2022-03-23 20:00:48.587,2022-03-23 20:01:03.587,Walking,annotator,PA TYPE
2022-03-23 20:01:04.587,2022-03-23 20:01:19.587,Walking,annotator,PA TYPE
2022-03-23 20:01:19.587,2022-03-23 20:02:33.587,Standing_With_Movement,annotator,PA TYPE
