START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-03-29 20:29:51.550,2022-03-29 20:30:28.550,Located_Indoors,annotator,Behavioral Parameters
2022-03-29 20:30:28.550,2022-03-29 20:33:32.550,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-29 20:33:32.550,2022-03-29 20:34:26.550,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-29 20:34:26.550,2022-03-29 20:34:48.550,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-29 20:34:48.550,2022-03-29 20:35:11.550,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-29 20:35:11.550,2022-03-29 20:36:35.550,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-29 20:36:35.550,2022-03-29 20:37:26.550,Located_Indoors/In_Conversation/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-29 20:37:26.550,2022-03-29 20:37:41.550,Located_Indoors,annotator,Behavioral Parameters
2022-03-29 20:37:41.550,2022-03-29 20:37:55.550,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-29 20:37:55.550,2022-03-29 20:38:24.550,Located_Indoors/Holding_Other_Object_Light/In_Conversation,annotator,Behavioral Parameters
2022-03-29 20:38:24.550,2022-03-29 20:39:05.550,Located_Indoors/Holding_Other_Object_Light/In_Conversation/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-29 20:39:05.550,2022-03-29 20:39:31.550,Located_Indoors/Holding_Other_Object_Light/In_Conversation,annotator,Behavioral Parameters
2022-03-29 20:39:31.550,2022-03-29 20:44:16.550,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-29 20:44:16.550,2022-03-29 20:45:50.550,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-29 20:45:50.550,2022-03-29 20:49:28.537,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-29 20:49:28.537,2022-03-29 20:49:34.537,Located_Indoors/In_Conversation/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-29 20:49:34.537,2022-03-29 20:52:34.537,Located_Indoors/In_Conversation/Holding_Other_Object_Light,annotator,Behavioral Parameters
