START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-12 10:16:41.750,2022-04-12 10:17:36.750,Meeting _Social_Gathering_In_Person/Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 10:17:36.750,2022-04-12 10:18:15.750,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 10:18:15.750,2022-04-12 10:19:27.762,Meeting _Social_Gathering_In_Person/Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 10:19:27.762,2022-04-12 10:22:04.762,Meeting _Social_Gathering_In_Person/Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 10:22:04.762,2022-04-12 10:22:32.762,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 10:22:32.762,2022-04-12 10:22:54.775,In_Transit_Active/Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 10:22:59.775,2022-04-12 10:23:22.775,In_Transit_Active/Meeting _Social_Gathering_In_Person/Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 10:23:22.775,2022-04-12 10:23:42.775,In_Transit_Active/Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 10:23:42.775,2022-04-12 10:26:43.787,In_Transit_Active/Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 10:26:43.787,2022-04-12 10:27:02.787,In_Transit_Active/Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 10:27:02.787,2022-04-12 10:27:14.787,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 10:27:15.787,2022-04-12 10:27:43.787,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 10:27:43.787,2022-04-12 10:28:57.787,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 10:29:01.787,2022-04-12 10:29:10.787,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
