START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-07 08:46:31.637,2022-04-07 08:46:56.637,Located_Indoors/Holding_Book/Reader,annotator,Behavioral Parameters
2022-04-07 08:47:01.637,2022-04-07 08:47:33.637,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 08:47:34.637,2022-04-07 08:52:09.612,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 08:52:09.612,2022-04-07 08:52:39.612,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-07 08:52:41.612,2022-04-07 08:55:59.600,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 08:55:59.600,2022-04-07 08:56:52.600,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 08:56:53.600,2022-04-07 08:57:44.600,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-04-07 08:57:46.600,2022-04-07 08:57:56.587,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 08:57:56.587,2022-04-07 08:58:47.587,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 08:58:47.587,2022-04-07 09:01:51.575,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-04-07 09:01:52.575,2022-04-07 09:02:52.575,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 09:02:56.575,2022-04-07 09:03:22.575,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-07 09:03:23.575,2022-04-07 09:03:51.575,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-04-07 09:03:52.575,2022-04-07 09:04:07.575,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 09:04:08.575,2022-04-07 09:04:55.562,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 09:04:56.562,2022-04-07 09:05:14.562,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-07 09:05:17.562,2022-04-07 09:05:29.562,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-07 09:05:30.562,2022-04-07 09:07:20.562,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 09:07:21.562,2022-04-07 09:07:45.550,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-07 09:07:45.550,2022-04-07 09:08:25.550,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-04-07 09:08:27.550,2022-04-07 09:14:03.525,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 09:14:03.525,2022-04-07 09:14:31.525,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-04-07 09:14:36.525,2022-04-07 09:16:34.525,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 09:16:36.525,2022-04-07 09:42:11.425,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 09:42:12.425,2022-04-07 09:48:21.400,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 09:48:25.400,2022-04-07 09:50:13.387,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 09:50:15.387,2022-04-07 09:52:55.375,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 09:52:57.375,2022-04-07 09:53:30.375,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-04-07 09:53:31.375,2022-04-07 10:04:22.337,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-04-07 10:04:28.337,2022-04-07 10:04:43.337,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 10:04:48.337,2022-04-07 10:04:58.337,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 10:05:03.337,2022-04-07 10:05:14.337,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 10:05:22.337,2022-04-07 10:05:41.337,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 10:05:54.325,2022-04-07 10:06:36.325,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 10:06:38.325,2022-04-07 10:07:36.325,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2022-04-07 10:07:38.325,2022-04-07 10:20:46.275,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 10:20:47.275,2022-04-07 10:38:28.200,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-04-07 10:38:29.200,2022-04-07 10:40:52.200,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 10:40:55.200,2022-04-07 10:41:11.200,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-04-07 10:41:12.200,2022-04-07 10:46:27.175,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 10:46:28.175,2022-04-07 10:49:19.162,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 10:49:19.162,2022-04-07 10:53:16.150,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 10:53:16.150,2022-04-07 10:54:04.150,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 10:54:06.150,2022-04-07 10:55:50.137,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 10:55:50.137,2022-04-07 10:59:56.125,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 10:59:57.125,2022-04-07 11:02:20.112,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-04-07 11:02:24.112,2022-04-07 11:02:58.112,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 11:03:03.112,2022-04-07 11:23:08.037,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-07 11:23:10.037,2022-04-07 11:23:34.025,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 11:23:38.025,2022-04-07 11:36:25.975,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 11:36:27.975,2022-04-07 11:37:46.975,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-04-07 11:37:46.975,2022-04-07 11:39:05.975,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 11:39:07.975,2022-04-07 12:05:36.862,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters
2022-04-07 12:05:43.862,2022-04-07 12:07:29.862,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 12:07:31.862,2022-04-07 12:08:50.850,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 12:08:54.850,2022-04-07 12:12:32.837,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 12:12:33.837,2022-04-07 12:14:33.837,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters
2022-04-07 12:14:37.837,2022-04-07 12:16:45.825,Located_Indoors,annotator,Behavioral Parameters
2022-04-07 12:16:47.825,2022-04-07 12:18:16.825,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 12:18:17.825,2022-04-07 12:19:15.812,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-07 12:19:18.812,2022-04-07 12:19:37.812,Located_Indoors/Holding_Bag/BriefCase_Hand_Light,annotator,Behavioral Parameters
2022-04-07 12:19:44.812,2022-04-07 12:24:14.800,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-07 12:24:14.800,2022-04-07 12:28:13.775,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
