START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-15 07:36:32.762,2022-04-15 07:39:48.650,Standing_With_Movement,annotator,PA TYPE
2022-04-15 07:39:48.650,2022-04-15 07:41:12.650,Sitting_With_Movement,annotator,PA TYPE
2022-04-15 07:41:12.650,2022-04-15 07:48:46.662,Puttering_Around,annotator,PA TYPE
2022-04-15 07:48:46.662,2022-04-15 07:49:19.662,Walking_Down_Stairs,annotator,PA TYPE
2022-04-15 07:49:19.662,2022-04-15 07:49:26.662,Walking,annotator,PA TYPE
2022-04-15 07:49:26.662,2022-04-15 07:55:08.675,Walking,annotator,PA TYPE
2022-04-15 07:55:08.675,2022-04-15 07:55:42.675,Walking_Up_Stairs,annotator,PA TYPE
2022-04-15 07:55:42.675,2022-04-15 07:55:56.675,Walking,annotator,PA TYPE
2022-04-15 07:55:56.675,2022-04-15 07:56:05.675,Standing_With_Movement,annotator,PA TYPE
2022-04-15 07:56:05.675,2022-04-15 07:56:51.675,Walking,annotator,PA TYPE
2022-04-15 07:56:51.675,2022-04-15 07:57:32.675,Standing_With_Movement,annotator,PA TYPE
2022-04-15 07:57:32.675,2022-04-15 07:57:55.675,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-04-15 07:57:55.675,2022-04-15 07:59:14.675,Sitting_With_Movement,annotator,PA TYPE
2022-04-15 07:59:14.675,2022-04-15 08:01:53.687,Sitting_With_Movement,annotator,PA TYPE
2022-04-15 08:01:53.687,2022-04-15 08:02:21.687,Puttering_Around,annotator,PA TYPE
2022-04-15 08:02:21.687,2022-04-15 08:03:54.687,Sitting_With_Movement,annotator,PA TYPE
2022-04-15 08:03:55.687,2022-04-15 08:24:10.725,Sitting_With_Movement,annotator,PA TYPE
2022-04-15 08:24:10.725,2022-04-15 08:41:07.750,Sitting_With_Movement,annotator,PA TYPE
2022-04-15 08:41:07.750,2022-04-15 09:07:10.787,Sitting_With_Movement,annotator,PA TYPE
2022-04-15 09:07:10.787,2022-04-15 09:10:31.800,Sitting_With_Movement,annotator,PA TYPE
2022-04-15 09:10:31.800,2022-04-15 09:12:57.800,Sitting_With_Movement,annotator,PA TYPE
2022-04-15 09:12:57.800,2022-04-15 09:13:26.800,Sitting_With_Movement,annotator,PA TYPE
2022-04-15 09:13:26.800,2022-04-15 09:22:13.812,Sitting_With_Movement,annotator,PA TYPE
2022-04-15 09:22:13.812,2022-04-15 09:23:47.825,Sitting_With_Movement,annotator,PA TYPE
2022-04-15 09:23:47.825,2022-04-15 09:26:35.825,Sitting_With_Movement,annotator,PA TYPE
