START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-16 22:41:31.225,2022-04-16 22:44:17.200,Free_Living,annotator,Experimental situation
2022-04-16 22:44:18.200,2022-04-16 22:47:32.175,Free_Living,annotator,Experimental situation
2022-04-16 22:47:33.175,2022-04-16 22:47:51.175,Free_Living,annotator,Experimental situation
2022-04-16 22:47:52.175,2022-04-16 22:48:03.175,Free_Living,annotator,Experimental situation
2022-04-16 22:48:03.175,2022-04-16 22:48:21.162,Free_Living,annotator,Experimental situation
2022-04-16 22:48:21.162,2022-04-16 22:49:46.150,Free_Living,annotator,Experimental situation
2022-04-16 22:49:47.150,2022-04-16 22:50:57.150,Free_Living,annotator,Experimental situation
2022-04-16 22:50:57.150,2022-04-16 22:54:00.112,Free_Living,annotator,Experimental situation
2022-04-16 22:54:00.112,2022-04-16 22:57:05.087,Free_Living,annotator,Experimental situation
2022-04-16 22:57:05.087,2022-04-16 23:00:13.062,Free_Living,annotator,Experimental situation
2022-04-16 23:00:13.062,2022-04-16 23:00:38.062,Free_Living,annotator,Experimental situation
2022-04-16 23:00:38.062,2022-04-16 23:02:05.050,Free_Living,annotator,Experimental situation
2022-04-16 23:02:05.050,2022-04-16 23:03:18.037,Free_Living,annotator,Experimental situation
2022-04-16 23:03:18.037,2022-04-16 23:04:22.025,Free_Living,annotator,Experimental situation
2022-04-16 23:04:22.025,2022-04-16 23:07:30.000,Free_Living,annotator,Experimental situation
2022-04-16 23:07:31.000,2022-04-16 23:08:13.000,Free_Living,annotator,Experimental situation
2022-04-16 23:08:15.000,2022-04-16 23:12:20.962,Free_Living,annotator,Experimental situation
2022-04-16 23:12:22.962,2022-04-16 23:12:37.962,Free_Living,annotator,Experimental situation
2022-04-16 23:12:37.962,2022-04-16 23:12:47.962,Free_Living,annotator,Experimental situation
2022-04-16 23:12:47.962,2022-04-16 23:12:58.950,Free_Living,annotator,Experimental situation
2022-04-16 23:12:58.950,2022-04-16 23:13:03.950,Free_Living,annotator,Experimental situation
