START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-16 22:41:31.225,2022-04-16 22:44:17.200,In_Position_Sitting,annotator,POSTURE
2022-04-16 22:44:18.200,2022-04-16 22:47:32.175,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE
2022-04-16 22:47:33.175,2022-04-16 22:47:51.175,In_Position_Sitting,annotator,POSTURE
2022-04-16 22:47:52.175,2022-04-16 22:48:03.175,In_Position_Sitting,annotator,POSTURE
2022-04-16 22:48:03.175,2022-04-16 22:48:21.162,In_Position_Sitting,annotator,POSTURE
2022-04-16 22:48:21.162,2022-04-16 22:49:46.150,In_Position_Sitting,annotator,POSTURE
2022-04-16 22:49:47.150,2022-04-16 22:50:57.150,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE
2022-04-16 22:50:57.150,2022-04-16 22:54:00.112,In_Position_Sitting,annotator,POSTURE
2022-04-16 22:54:00.112,2022-04-16 22:57:05.087,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE
2022-04-16 22:57:05.087,2022-04-16 23:00:13.062,In_Position_Sitting,annotator,POSTURE
2022-04-16 23:00:13.062,2022-04-16 23:00:38.062,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE
2022-04-16 23:00:38.062,2022-04-16 23:02:05.050,In_Position_Sitting,annotator,POSTURE
2022-04-16 23:02:05.050,2022-04-16 23:03:18.037,In_Position_Sitting,annotator,POSTURE
2022-04-16 23:03:18.037,2022-04-16 23:04:22.025,In_Position_Sitting,annotator,POSTURE
2022-04-16 23:04:22.025,2022-04-16 23:07:30.000,In_Position_Sitting,annotator,POSTURE
2022-04-16 23:07:31.000,2022-04-16 23:08:13.000,In_Position_Sitting,annotator,POSTURE
2022-04-16 23:08:15.000,2022-04-16 23:12:20.962,In_Position_Sitting,annotator,POSTURE
2022-04-16 23:12:22.962,2022-04-16 23:12:37.962,In_Position_Upright,annotator,POSTURE
2022-04-16 23:12:37.962,2022-04-16 23:12:47.962,In_Position_Upright,annotator,POSTURE
2022-04-16 23:12:47.962,2022-04-16 23:12:58.950,In_Position_Upright,annotator,POSTURE
2022-04-16 23:12:58.950,2022-04-16 23:13:03.950,In_Position_Upright,annotator,POSTURE
2022-04-16 23:13:03.950,2022-04-16 23:13:17.950,In_Position_Upright,annotator,POSTURE
2022-04-16 23:13:18.950,2022-04-16 23:13:19.950,In_Position_Upright,annotator,POSTURE
2022-04-16 23:13:19.950,2022-04-16 23:13:31.950,In_Position_Upright,annotator,POSTURE
2022-04-16 23:13:31.950,2022-04-16 23:13:37.950,In_Position_Upright,annotator,POSTURE
2022-04-16 23:13:38.950,2022-04-16 23:14:28.937,In_Position_Upright,annotator,POSTURE
2022-04-16 23:14:29.937,2022-04-16 23:15:21.937,In_Position_Upright,annotator,POSTURE
