START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-16 09:48:10.475,2022-04-16 09:48:46.162,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 09:48:46.162,2022-04-16 09:51:34.137,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 09:51:34.137,2022-04-16 09:58:14.075,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 09:58:14.075,2022-04-16 09:59:17.062,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 09:59:17.062,2022-04-16 10:09:10.962,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 10:09:10.962,2022-04-16 10:10:07.962,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 10:10:07.962,2022-04-16 10:13:33.925,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 10:13:33.925,2022-04-16 10:15:12.912,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 10:15:12.912,2022-04-16 10:15:30.912,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 10:15:30.912,2022-04-16 10:16:28.900,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 10:16:28.900,2022-04-16 10:16:38.900,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 10:16:38.900,2022-04-16 10:20:03.862,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 10:20:03.862,2022-04-16 10:46:24.625,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 10:46:24.625,2022-04-16 10:47:27.612,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 10:47:27.612,2022-04-16 10:49:58.587,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 10:49:58.587,2022-04-16 10:51:30.575,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 10:51:30.575,2022-04-16 10:52:25.562,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 10:52:25.562,2022-04-16 10:53:00.562,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 10:53:00.562,2022-04-16 10:57:55.512,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 10:57:55.512,2022-04-16 11:00:25.487,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 11:00:25.487,2022-04-16 11:00:58.487,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 11:00:58.487,2022-04-16 11:03:33.462,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 11:03:33.462,2022-04-16 11:08:46.412,WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 11:08:46.412,2022-04-16 11:09:45.400,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 11:09:45.400,2022-04-16 11:13:57.362,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 11:13:57.362,2022-04-16 11:15:19.350,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 11:15:19.350,2022-04-16 11:15:58.350,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 11:15:58.350,2022-04-16 11:18:53.325,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 11:18:53.325,2022-04-16 11:23:27.275,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 11:23:27.275,2022-04-16 11:24:27.275,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 11:24:27.275,2022-04-16 11:43:23.087,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 11:43:23.087,2022-04-16 11:53:43.000,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 11:53:43.000,2022-04-16 11:54:42.987,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 11:54:42.987,2022-04-16 11:55:38.975,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 11:55:38.975,2022-04-16 11:56:42.975,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 11:56:42.975,2022-04-16 11:58:35.950,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 11:58:35.950,2022-04-16 11:59:37.937,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 11:59:37.937,2022-04-16 12:02:04.925,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:02:04.925,2022-04-16 12:02:53.912,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:02:53.912,2022-04-16 12:03:26.912,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:03:26.912,2022-04-16 12:03:43.900,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:03:43.900,2022-04-16 12:04:30.900,HLB_Other,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:04:30.900,2022-04-16 12:10:09.850,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:10:09.850,2022-04-16 12:10:39.837,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:10:39.837,2022-04-16 12:10:56.837,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:10:56.837,2022-04-16 12:11:27.837,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:11:27.837,2022-04-16 12:12:18.825,,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:12:18.825,2022-04-16 12:12:59.812,Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:12:59.812,2022-04-16 12:14:16.812,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:14:16.812,2022-04-16 12:15:48.787,HLB_Other,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:15:48.787,2022-04-16 12:17:10.775,Meeting _Social_Gathering_In_Person/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:17:10.775,2022-04-16 12:19:48.750,HLB_Other,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:19:48.750,2022-04-16 12:21:27.737,Meeting _Social_Gathering_In_Person/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:21:27.737,2022-04-16 12:23:16.725,HLB_Other,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:23:16.725,2022-04-16 12:39:24.575,Meeting _Social_Gathering_In_Person/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:39:24.575,2022-04-16 12:39:34.575,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:39:34.575,2022-04-16 12:42:15.550,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:42:15.550,2022-04-16 12:43:57.525,HLB_Other,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:43:57.525,2022-04-16 12:45:01.525,Meeting _Social_Gathering_In_Person/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:45:01.525,2022-04-16 12:48:13.487,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:48:13.487,2022-04-16 12:48:52.487,Meeting _Social_Gathering_In_Person/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:48:52.487,2022-04-16 12:49:20.475,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:49:20.475,2022-04-16 12:49:25.475,Meeting _Social_Gathering_In_Person/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:49:25.475,2022-04-16 12:49:55.475,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:49:55.475,2022-04-16 12:50:54.462,Meeting _Social_Gathering_In_Person/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:50:54.462,2022-04-16 12:54:16.437,Meeting _Social_Gathering_In_Person/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:54:16.437,2022-04-16 12:55:17.425,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:55:17.425,2022-04-16 12:56:17.412,Meeting _Social_Gathering_In_Person/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:56:17.412,2022-04-16 12:56:28.412,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:56:28.412,2022-04-16 12:57:13.412,Meeting _Social_Gathering_In_Person/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:57:13.412,2022-04-16 12:57:49.400,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:57:49.400,2022-04-16 12:59:03.387,Meeting _Social_Gathering_In_Person/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 12:59:03.387,2022-04-16 13:00:49.375,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 13:00:49.375,2022-04-16 13:01:54.362,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 13:01:54.362,2022-04-16 13:04:59.337,Meeting _Social_Gathering_In_Person/In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 13:04:59.337,2022-04-16 13:05:13.337,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 13:05:13.337,2022-04-16 13:05:30.325,Meeting _Social_Gathering_In_Person/In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 13:05:31.325,2022-04-16 13:07:07.312,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 13:07:07.312,2022-04-16 13:07:27.312,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 13:07:27.312,2022-04-16 13:08:19.300,Riding_Elevator_Up,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 13:08:19.300,2022-04-16 13:08:43.300,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
