START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-19 08:18:18.400,2022-04-19 08:23:54.412,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:23:54.412,2022-04-19 08:26:17.412,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:26:17.412,2022-04-19 08:27:09.412,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:27:09.412,2022-04-19 08:28:11.412,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:28:11.412,2022-04-19 08:29:03.412,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:29:03.412,2022-04-19 08:29:34.412,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:29:35.412,2022-04-19 08:29:59.412,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:30:00.412,2022-04-19 08:31:51.425,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:31:51.425,2022-04-19 08:32:33.425,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:32:33.425,2022-04-19 08:33:26.425,In_Transit_Active/Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:33:26.425,2022-04-19 08:40:57.437,In_Transit_Active/Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:40:57.437,2022-04-19 08:41:32.437,In_Transit_Active/Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:41:32.437,2022-04-19 08:41:36.437,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:41:36.437,2022-04-19 08:41:51.437,In_Transit_Active/Riding_Elevator_Up,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:41:51.437,2022-04-19 08:42:47.450,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:42:47.450,2022-04-19 08:51:24.462,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:51:24.462,2022-04-19 08:53:56.462,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:51:24.462,2022-04-19 08:51:24.462,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:53:56.462,2022-04-19 08:59:22.475,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 08:59:22.475,2022-04-19 09:01:04.475,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 09:01:04.475,2022-04-19 09:01:55.487,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 09:01:59.487,2022-04-19 09:03:20.487,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 09:03:20.487,2022-04-19 09:04:55.487,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 09:04:55.487,2022-04-19 09:07:13.487,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 09:07:13.487,2022-04-19 09:12:11.500,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 09:12:11.500,2022-04-19 09:20:49.525,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 09:20:49.525,2022-04-19 09:23:08.525,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 09:23:08.525,2022-04-19 09:26:35.525,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 09:26:35.525,2022-04-19 09:29:28.537,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 09:29:28.537,2022-04-19 09:31:44.537,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 09:31:44.537,2022-04-19 09:55:44.587,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 09:55:44.587,2022-04-19 10:02:36.600,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 10:02:36.600,2022-04-19 10:22:56.637,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 10:22:56.637,2022-04-19 10:31:39.662,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 10:31:39.662,2022-04-19 10:45:59.687,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 10:45:59.687,2022-04-19 10:48:32.687,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 10:48:32.687,2022-04-19 11:04:13.725,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 11:04:13.725,2022-04-19 11:49:41.812,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 11:49:41.812,2022-04-19 11:55:08.825,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 11:55:08.825,2022-04-19 12:09:51.850,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:09:51.850,2022-04-19 12:17:08.875,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:17:08.875,2022-04-19 12:21:48.875,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:21:48.875,2022-04-19 12:22:40.875,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:22:40.875,2022-04-19 12:23:01.875,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:23:01.875,2022-04-19 12:23:32.887,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:23:32.887,2022-04-19 12:24:23.887,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:24:23.887,2022-04-19 12:26:14.887,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:26:14.887,2022-04-19 12:26:45.887,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:26:45.887,2022-04-19 12:27:45.887,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:27:45.887,2022-04-19 12:30:38.900,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:30:38.900,2022-04-19 12:31:45.900,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:31:45.900,2022-04-19 12:33:26.900,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:33:26.900,2022-04-19 12:43:47.925,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:43:47.925,2022-04-19 12:45:32.925,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:45:32.925,2022-04-19 12:47:12.925,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:47:12.925,2022-04-19 12:48:42.937,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:48:42.937,2022-04-19 12:50:35.937,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:50:35.937,2022-04-19 12:53:46.937,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:53:46.937,2022-04-19 12:55:07.950,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 12:55:07.950,2022-04-19 13:05:21.962,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:05:21.962,2022-04-19 13:13:16.975,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:13:16.975,2022-04-19 13:18:07.987,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:18:07.987,2022-04-19 13:20:08.000,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:20:08.000,2022-04-19 13:20:38.000,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:20:38.000,2022-04-19 13:21:48.000,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:21:48.000,2022-04-19 13:22:18.000,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:22:18.000,2022-04-19 13:23:18.000,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:23:18.000,2022-04-19 13:23:38.000,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:23:38.000,2022-04-19 13:23:58.000,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:23:58.000,2022-04-19 13:24:28.000,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:24:28.000,2022-04-19 13:24:48.000,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:25:08.000,2022-04-19 13:26:38.012,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:25:08.000,2022-04-19 13:25:08.000,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:26:38.012,2022-04-19 13:34:51.025,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:34:51.025,2022-04-19 13:35:43.025,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:35:43.025,2022-04-19 13:36:56.025,Riding_Elevator_Up,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:36:56.025,2022-04-19 13:37:30.025,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:37:30.025,2022-04-19 13:40:00.037,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:40:00.037,2022-04-19 13:40:33.037,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:40:33.037,2022-04-19 13:43:30.037,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:43:58.037,2022-04-19 13:44:56.037,Meeting _Social_Gathering_In_Person/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:44:56.037,2022-04-19 13:46:14.050,Meeting _Social_Gathering_In_Person/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:46:15.050,2022-04-19 13:48:08.050,Meeting _Social_Gathering_In_Person/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:48:08.050,2022-04-19 13:48:41.050,Meeting _Social_Gathering_In_Person/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:48:41.050,2022-04-19 13:50:03.050,Meeting _Social_Gathering_In_Person/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:50:03.050,2022-04-19 13:50:59.050,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:50:59.050,2022-04-19 13:51:32.062,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:51:32.062,2022-04-19 13:52:36.062,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:52:36.062,2022-04-19 13:53:36.062,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:53:54.062,2022-04-19 13:58:57.075,Meeting _Social_Gathering_In_Person/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 13:58:57.075,2022-04-19 14:15:42.100,Meeting _Social_Gathering_In_Person/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 14:15:42.100,2022-04-19 14:25:35.125,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 14:25:35.125,2022-04-19 14:27:04.125,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 14:28:09.125,2022-04-19 14:56:36.187,Meeting _Social_Gathering_In_Person/Relaxing_Passive,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 14:56:37.187,2022-04-19 15:07:48.212,Meeting _Social_Gathering_In_Person/Relaxing_Passive,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 15:07:48.212,2022-04-19 15:11:44.212,Meeting _Social_Gathering_In_Person/Relaxing_Passive,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 15:12:45.212,2022-04-19 15:28:41.250,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 15:28:57.250,2022-04-19 15:50:42.287,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 15:50:42.287,2022-04-19 15:56:25.300,Relaxing_Passive,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 15:56:26.300,2022-04-19 16:04:21.325,Relaxing_Passive,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 16:04:21.325,2022-04-19 16:23:45.362,Relaxing_Passive,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 16:24:00.362,2022-04-19 16:25:15.362,,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 16:25:15.362,2022-04-19 16:26:06.362,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 16:26:06.362,2022-04-19 16:26:53.362,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 16:26:54.362,2022-04-19 16:38:19.387,Packing/Unpacking_Something/Cleaning,annotator,HIGH LEVEL BEHAVIOR
2022-04-19 16:38:20.387,2022-04-19 16:39:04.387,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
