START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-20 09:50:15.737,2022-04-20 09:54:43.725,Walking,annotator,PA TYPE
2022-04-20 09:54:43.725,2022-04-20 09:57:41.725,Puttering_Around,annotator,PA TYPE
2022-04-20 09:57:41.725,2022-04-20 09:59:22.712,Puttering_Around,annotator,PA TYPE
2022-04-20 09:59:22.712,2022-04-20 10:00:03.712,Puttering_Around,annotator,PA TYPE
2022-04-20 10:00:03.712,2022-04-20 10:00:34.712,Puttering_Around,annotator,PA TYPE
2022-04-20 10:00:34.712,2022-04-20 10:01:25.712,Puttering_Around,annotator,PA TYPE
2022-04-20 10:01:25.712,2022-04-20 10:02:06.712,Puttering_Around,annotator,PA TYPE
2022-04-20 10:02:06.712,2022-04-20 10:03:21.712,Puttering_Around,annotator,PA TYPE
2022-04-20 10:05:23.712,2022-04-20 10:11:20.700,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 10:11:20.700,2022-04-20 10:12:56.700,Walking,annotator,PA TYPE
2022-04-20 10:12:56.700,2022-04-20 10:16:29.687,Brushing_Teeth,annotator,PA TYPE
2022-04-20 10:16:29.687,2022-04-20 10:17:52.687,Walking,annotator,PA TYPE
2022-04-20 10:17:52.687,2022-04-20 10:18:38.687,Walking,annotator,PA TYPE
2022-04-20 10:18:38.687,2022-04-20 10:27:56.675,Walking,annotator,PA TYPE
2022-04-20 10:27:56.675,2022-04-20 10:29:07.662,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 10:29:07.662,2022-04-20 11:46:10.537,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 11:46:10.537,2022-04-20 11:56:10.525,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 11:56:10.525,2022-04-20 11:56:12.525,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 11:56:54.525,2022-04-20 11:56:54.525,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 11:56:54.525,2022-04-20 11:57:36.525,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 11:57:36.525,2022-04-20 11:58:17.512,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 11:58:17.512,2022-04-20 11:59:30.512,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 11:59:30.512,2022-04-20 12:01:20.512,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:01:20.512,2022-04-20 12:02:00.512,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:02:00.512,2022-04-20 12:03:40.512,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:03:40.512,2022-04-20 12:05:50.500,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:05:50.500,2022-04-20 12:06:40.500,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:06:40.500,2022-04-20 12:08:51.500,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:08:51.500,2022-04-20 12:10:51.500,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:10:51.500,2022-04-20 12:12:01.500,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:12:01.500,2022-04-20 12:12:41.500,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:12:41.500,2022-04-20 12:15:24.487,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:15:24.487,2022-04-20 12:19:48.487,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:19:48.487,2022-04-20 12:22:38.475,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:22:38.475,2022-04-20 12:23:28.475,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:23:28.475,2022-04-20 12:27:38.475,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:27:38.475,2022-04-20 12:30:57.462,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:27:38.475,2022-04-20 12:27:38.475,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:30:57.462,2022-04-20 12:33:01.462,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:33:01.462,2022-04-20 12:34:26.462,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:34:36.462,2022-04-20 12:34:38.462,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:34:38.462,2022-04-20 12:34:40.462,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:34:40.462,2022-04-20 12:41:16.450,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:41:16.450,2022-04-20 12:44:10.437,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:44:10.437,2022-04-20 12:52:55.425,Walking,annotator,PA TYPE
2022-04-20 12:52:55.425,2022-04-20 12:53:27.425,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 12:53:27.425,2022-04-20 12:55:10.425,Walking,annotator,PA TYPE
2022-04-20 12:55:10.425,2022-04-20 13:13:48.387,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-04-20 13:13:48.387,2022-04-20 13:16:33.387,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 13:16:33.387,2022-04-20 13:19:49.387,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 13:19:49.387,2022-04-20 13:20:31.375,Walking,annotator,PA TYPE
2022-04-20 13:20:31.375,2022-04-20 14:15:24.287,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 14:15:24.287,2022-04-20 14:18:08.287,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 14:18:08.287,2022-04-20 14:23:31.275,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 14:23:31.275,2022-04-20 15:08:41.200,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 15:08:41.200,2022-04-20 15:13:36.187,Walking,annotator,PA TYPE
2022-04-20 15:13:36.187,2022-04-20 15:17:12.187,Walking,annotator,PA TYPE
2022-04-20 15:17:15.187,2022-04-20 15:24:12.175,Walking,annotator,PA TYPE
2022-04-20 15:24:14.175,2022-04-20 15:24:21.175,Walking,annotator,PA TYPE
2022-04-20 15:24:25.175,2022-04-20 15:24:41.175,Walking,annotator,PA TYPE
2022-04-20 15:24:46.175,2022-04-20 15:25:01.175,Walking,annotator,PA TYPE
2022-04-20 15:25:06.175,2022-04-20 15:25:39.175,Walking,annotator,PA TYPE
2022-04-20 15:25:41.175,2022-04-20 16:19:36.087,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 16:19:39.087,2022-04-20 16:20:42.075,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 16:20:44.075,2022-04-20 16:50:03.025,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 16:50:11.025,2022-04-20 16:52:07.025,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 16:52:09.025,2022-04-20 16:53:15.025,Sitting_With_Movement,annotator,PA TYPE
2022-04-20 16:53:24.025,2022-04-20 16:54:03.025,Walking,annotator,PA TYPE
2022-04-20 16:54:05.025,2022-04-20 16:54:28.025,Walking,annotator,PA TYPE
2022-04-20 16:54:29.025,2022-04-20 17:03:39.012,Walking,annotator,PA TYPE
2022-04-20 17:03:40.012,2022-04-20 17:04:28.012,Standing_With_Movement,annotator,PA TYPE
2022-04-20 17:04:34.012,2022-04-20 17:05:03.000,Walking,annotator,PA TYPE
2022-04-20 17:05:04.000,2022-04-20 17:05:20.000,Walking,annotator,PA TYPE
2022-04-20 17:05:28.000,2022-04-20 17:06:07.000,Standing_With_Movement,annotator,PA TYPE
2022-04-20 17:06:08.000,2022-04-20 17:06:59.000,Walking,annotator,PA TYPE
2022-04-20 17:07:09.000,2022-04-20 17:09:40.000,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-04-20 17:09:43.000,2022-04-20 17:10:40.000,Puttering_Around,annotator,PA TYPE
2022-04-20 17:10:48.000,2022-04-20 17:11:44.000,Sitting_With_Movement,annotator,PA TYPE
