START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-28 10:25:08.312,2022-04-28 10:29:10.300,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 10:29:13.300,2022-04-28 10:32:18.287,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 10:32:21.287,2022-04-28 10:34:26.287,Located_Indoors/Texting/Browsing_Phone/Browsing_Computer,annotator,Behavioral Parameters
2022-04-28 10:34:34.287,2022-04-28 10:36:44.287,Located_Indoors/Texting/Browsing_Phone/Browsing_Computer,annotator,Behavioral Parameters
2022-04-28 10:36:48.287,2022-04-28 11:11:44.200,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters
2022-04-28 11:11:51.200,2022-04-28 11:26:44.162,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-04-28 11:26:50.162,2022-04-28 11:30:17.150,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-28 11:30:19.150,2022-04-28 11:35:56.137,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters
2022-04-28 11:36:02.137,2022-04-28 11:36:25.137,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-28 11:36:28.137,2022-04-28 11:37:28.137,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 11:37:34.137,2022-04-28 12:00:21.075,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-28 12:00:23.075,2022-04-28 12:20:26.025,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-28 12:20:28.025,2022-04-28 12:21:05.025,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-28 12:21:06.025,2022-04-28 12:24:31.012,Located_Indoors/In_Conversation/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-28 12:24:32.012,2022-04-28 12:26:15.012,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-28 12:26:16.012,2022-04-28 12:27:15.012,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-28 12:27:32.012,2022-04-28 12:35:46.987,CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters
2022-04-28 12:35:48.987,2022-04-28 13:19:39.887,Texting/Browsing_Phone/Located_Indoors,annotator,Behavioral Parameters
2022-04-28 13:19:39.887,2022-04-28 13:22:16.875,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 13:22:23.875,2022-04-28 13:23:53.875,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 13:24:08.875,2022-04-28 13:26:36.862,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 13:26:41.862,2022-04-28 13:27:10.862,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 13:27:13.862,2022-04-28 13:29:14.862,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 13:29:17.862,2022-04-28 13:32:01.850,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-28 13:32:49.850,2022-04-28 13:34:05.850,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-28 13:34:06.850,2022-04-28 13:53:36.800,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-28 13:53:46.800,2022-04-28 14:01:23.775,,annotator,Behavioral Parameters
2022-04-28 14:01:25.775,2022-04-28 14:03:12.775,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 14:03:14.775,2022-04-28 14:03:58.775,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 14:04:00.775,2022-04-28 14:05:37.775,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 14:05:38.775,2022-04-28 14:06:31.762,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 14:06:39.762,2022-04-28 14:20:19.737,,annotator,Behavioral Parameters
2022-04-28 14:20:22.737,2022-04-28 14:23:12.725,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 14:23:12.725,2022-04-28 14:23:37.725,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-28 14:23:38.725,2022-04-28 14:23:57.725,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 14:23:58.725,2022-04-28 14:24:09.725,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 14:24:09.725,2022-04-28 14:27:25.712,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 14:27:26.712,2022-04-28 14:28:03.712,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 14:28:03.712,2022-04-28 14:28:13.712,Located_Outdoors/Holding_Other_Object_Heavy,annotator,Behavioral Parameters
2022-04-28 14:28:19.712,2022-04-28 14:30:03.712,Located_Outdoors,annotator,Behavioral Parameters
2022-04-28 14:30:05.712,2022-04-28 14:32:46.700,Located_Outdoors,annotator,Behavioral Parameters
2022-04-28 14:32:52.700,2022-04-28 14:33:04.700,Located_Indoors/Holding_Other_Object_Heavy,annotator,Behavioral Parameters
2022-04-28 14:33:09.700,2022-04-28 14:33:47.700,Located_Indoors/Holding_Other_Object_Heavy,annotator,Behavioral Parameters
2022-04-28 14:33:52.700,2022-04-28 14:34:06.700,Located_Indoors/Holding_Other_Object_Heavy,annotator,Behavioral Parameters
2022-04-28 14:34:16.700,2022-04-28 14:34:37.700,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 14:34:37.700,2022-04-28 14:36:58.700,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-04-28 14:37:03.700,2022-04-28 14:37:16.687,Located_Indoors/Holding_Other_Object_Heavy,annotator,Behavioral Parameters
2022-04-28 14:37:30.687,2022-04-28 14:37:51.687,Located_Indoors/Holding_Other_Object_Heavy,annotator,Behavioral Parameters
2022-04-28 14:37:51.687,2022-04-28 14:38:07.687,Located_Indoors/Holding_Other_Object_Heavy,annotator,Behavioral Parameters
2022-04-28 14:38:13.687,2022-04-28 14:39:56.687,Located_Outdoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-28 14:40:00.687,2022-04-28 14:53:38.650,Located_Outdoors,annotator,Behavioral Parameters
2022-04-28 14:53:40.650,2022-04-28 14:54:12.650,Located_Outdoors/Holding_Other_Object_Heavy/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-28 14:54:13.650,2022-04-28 14:55:00.650,Located_Outdoors/Holding_Other_Object_Heavy,annotator,Behavioral Parameters
2022-04-28 14:55:00.650,2022-04-28 14:58:34.637,Located_Outdoors,annotator,Behavioral Parameters
2022-04-28 14:58:35.637,2022-04-28 14:58:55.637,Located_Outdoors/Holding_Other_Object_Heavy,annotator,Behavioral Parameters
2022-04-28 14:58:56.637,2022-04-28 14:59:08.637,Located_Outdoors/Holding_Other_Object_Heavy,annotator,Behavioral Parameters
2022-04-28 14:59:08.637,2022-04-28 14:59:37.637,Located_Outdoors/Holding_Other_Object_Heavy,annotator,Behavioral Parameters
2022-04-28 14:59:38.637,2022-04-28 15:00:00.637,Located_Outdoors/Holding_Other_Object_Heavy,annotator,Behavioral Parameters
2022-04-28 15:00:30.637,2022-04-28 15:02:46.625,Located_Outdoors/Holding_Other_Object_Heavy,annotator,Behavioral Parameters
2022-04-28 15:02:47.625,2022-04-28 15:03:07.625,Located_Outdoors/Holding_Other_Object_Heavy,annotator,Behavioral Parameters
2022-04-28 15:03:08.625,2022-04-28 15:04:04.625,Located_Outdoors,annotator,Behavioral Parameters
2022-04-28 15:04:04.625,2022-04-28 15:41:03.537,,annotator,Behavioral Parameters
2022-04-28 15:41:07.537,2022-04-28 15:41:45.537,Located_Outdoors,annotator,Behavioral Parameters
2022-04-28 15:41:48.537,2022-04-28 15:43:02.537,Located_Outdoors,annotator,Behavioral Parameters
2022-04-28 15:43:03.537,2022-04-28 15:43:31.537,Located_Indoors/Holding_Other_Object_Heavy,annotator,Behavioral Parameters
2022-04-28 15:43:39.525,2022-04-28 15:44:13.525,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 15:44:14.525,2022-04-28 16:09:17.462,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-28 16:09:17.462,2022-04-28 16:09:40.462,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 16:09:41.462,2022-04-28 16:09:50.462,Located_Indoors/Handwriting/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-28 16:09:52.462,2022-04-28 16:10:14.462,Located_Indoors,annotator,Behavioral Parameters
2022-04-28 16:10:17.462,2022-04-28 16:11:24.462,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-04-28 16:11:25.462,2022-04-28 16:11:31.462,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light,annotator,Behavioral Parameters
2022-04-28 16:11:52.462,2022-04-28 16:19:22.437,Carrying_Bag_On_Shoulder/Back_Light/Located_Outdoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-28 16:19:27.437,2022-04-28 16:20:14.437,Carrying_Bag_On_Shoulder/Back_Light/Located_Outdoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-28 16:20:15.437,2022-04-28 16:20:52.437,Carrying_Bag_On_Shoulder/Back_Light/Located_Outdoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-28 16:20:55.437,2022-04-28 16:26:20.425,Carrying_Bag_On_Shoulder/Back_Light/Located_Outdoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
