START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-26 20:15:24.825,2022-04-26 20:17:12.687,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 20:17:12.687,2022-04-26 20:18:16.675,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 20:18:16.675,2022-04-26 20:20:51.662,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 20:21:01.662,2022-04-26 20:25:10.625,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 20:25:45.625,2022-04-26 21:07:15.312,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:07:19.312,2022-04-26 21:07:19.312,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:07:39.312,2022-04-26 21:08:24.312,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:08:27.312,2022-04-26 21:10:49.287,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:10:49.287,2022-04-26 21:13:10.275,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:13:16.275,2022-04-26 21:13:45.275,Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:13:46.275,2022-04-26 21:14:03.262,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:14:05.262,2022-04-26 21:16:07.250,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:16:08.250,2022-04-26 21:17:34.237,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:17:35.237,2022-04-26 21:18:30.237,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:18:32.237,2022-04-26 21:20:18.225,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:20:19.225,2022-04-26 21:24:09.187,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:24:11.187,2022-04-26 21:35:57.100,In_Transit_Passive_Train/Bus/Plane,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:36:03.100,2022-04-26 21:39:05.087,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:39:11.075,2022-04-26 21:39:48.075,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:39:49.075,2022-04-26 21:40:51.075,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:40:53.062,2022-04-26 21:49:43.000,Doing_Common_Housework_Light,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:49:44.000,2022-04-26 21:52:32.987,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:52:33.987,2022-04-26 21:53:59.975,Shopping_Grocery,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:54:00.975,2022-04-26 21:56:47.950,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 21:57:00.950,2022-04-26 22:02:27.912,Doing_Common_Housework_Light,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 22:02:38.912,2022-04-26 22:17:02.800,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 22:17:05.800,2022-04-26 22:18:50.787,Doing_Common_Housework_Light,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 22:18:53.787,2022-04-26 22:45:48.587,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
