START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-26 20:15:24.825,2022-04-26 20:17:12.687,Sitting_With_Movement,annotator,PA TYPE
2022-04-26 20:17:12.687,2022-04-26 20:18:16.675,Standing_With_Movement,annotator,PA TYPE
2022-04-26 20:18:16.675,2022-04-26 20:20:51.662,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-04-26 20:21:01.662,2022-04-26 20:25:10.625,Sitting_With_Movement,annotator,PA TYPE
2022-04-26 20:25:45.625,2022-04-26 21:07:15.312,Sitting_With_Movement,annotator,PA TYPE
2022-04-26 21:07:19.312,2022-04-26 21:07:19.312,Sitting_With_Movement,annotator,PA TYPE
2022-04-26 21:07:39.312,2022-04-26 21:08:24.312,Sitting_With_Movement,annotator,PA TYPE
2022-04-26 21:08:27.312,2022-04-26 21:10:49.287,Standing_With_Movement,annotator,PA TYPE
2022-04-26 21:10:49.287,2022-04-26 21:13:10.275,Walking,annotator,PA TYPE
2022-04-26 21:13:16.275,2022-04-26 21:13:45.275,Standing_With_Movement,annotator,PA TYPE
2022-04-26 21:13:46.275,2022-04-26 21:14:03.262,Walking,annotator,PA TYPE
2022-04-26 21:14:05.262,2022-04-26 21:16:07.250,Walking,annotator,PA TYPE
2022-04-26 21:16:08.250,2022-04-26 21:17:34.237,Walking,annotator,PA TYPE
2022-04-26 21:17:35.237,2022-04-26 21:18:30.237,Standing_With_Movement,annotator,PA TYPE
2022-04-26 21:18:32.237,2022-04-26 21:20:18.225,Walking,annotator,PA TYPE
2022-04-26 21:20:19.225,2022-04-26 21:24:09.187,Walking,annotator,PA TYPE
2022-04-26 21:24:11.187,2022-04-26 21:35:57.100,Sitting_With_Movement,annotator,PA TYPE
2022-04-26 21:36:03.100,2022-04-26 21:39:05.087,Walking,annotator,PA TYPE
2022-04-26 21:39:11.075,2022-04-26 21:39:48.075,Walking,annotator,PA TYPE
2022-04-26 21:39:49.075,2022-04-26 21:40:51.075,Sitting_With_Movement,annotator,PA TYPE
2022-04-26 21:40:53.062,2022-04-26 21:49:43.000,Walking,annotator,PA TYPE
2022-04-26 21:49:44.000,2022-04-26 21:52:32.987,Walking,annotator,PA TYPE
2022-04-26 21:52:33.987,2022-04-26 21:53:59.975,Walking,annotator,PA TYPE
2022-04-26 21:54:00.975,2022-04-26 21:56:47.950,Walking,annotator,PA TYPE
2022-04-26 21:57:00.950,2022-04-26 22:02:27.912,Walking,annotator,PA TYPE
2022-04-26 22:02:38.912,2022-04-26 22:17:02.800,Sitting_With_Movement,annotator,PA TYPE
2022-04-26 22:17:05.800,2022-04-26 22:18:50.787,Walking,annotator,PA TYPE
2022-04-26 22:18:53.787,2022-04-26 22:45:48.587,Sitting_With_Movement,annotator,PA TYPE
