START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-05-05 10:22:28.137,2022-05-05 10:23:14.137,Standing_With_Movement,annotator,PA TYPE
2022-05-05 10:23:17.137,2022-05-05 10:23:30.125,Folding_Clothes,annotator,PA TYPE
2022-05-05 10:23:30.125,2022-05-05 10:24:20.125,Puttering_Around,annotator,PA TYPE
2022-05-05 10:24:27.125,2022-05-05 10:31:33.062,Doing_Resistance_Training_Other,annotator,PA TYPE
2022-05-05 10:31:33.062,2022-05-05 10:31:57.050,PA_Type_Other,annotator,PA TYPE
2022-05-05 10:32:14.050,2022-05-05 10:33:16.037,Doing_Resistance_Training_Other,annotator,PA TYPE
2022-05-05 10:33:16.037,2022-05-05 10:33:46.037,Doing_Resistance_Training_Other,annotator,PA TYPE
2022-05-05 10:33:46.037,2022-05-05 10:34:13.037,Doing_Resistance_Training_Other,annotator,PA TYPE
2022-05-05 10:34:13.037,2022-05-05 10:39:21.987,Doing_Resistance_Training_Other,annotator,PA TYPE
2022-05-05 10:39:21.987,2022-05-05 10:39:54.987,Doing_Resistance_Training_Other,annotator,PA TYPE
2022-05-05 10:39:54.987,2022-05-05 10:40:17.975,Doing_Resistance_Training_Other,annotator,PA TYPE
2022-05-05 10:40:17.975,2022-05-05 10:44:19.937,Doing_Resistance_Training_Other,annotator,PA TYPE
2022-05-05 10:44:26.937,2022-05-05 10:45:49.925,Doing_Resistance_Training_Other,annotator,PA TYPE
2022-05-05 10:46:16.925,2022-05-05 10:49:09.900,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-05-05 10:49:09.900,2022-05-05 10:57:19.825,Puttering_Around,annotator,PA TYPE
2022-05-05 10:57:19.825,2022-05-05 11:00:44.800,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 11:00:44.800,2022-05-05 11:02:07.787,Puttering_Around,annotator,PA TYPE
2022-05-05 11:02:07.787,2022-05-05 11:02:54.775,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 11:02:56.775,2022-05-05 11:05:33.750,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 11:05:32.750,2022-05-05 11:05:32.750,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 11:05:33.750,2022-05-05 11:17:47.637,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 11:17:51.637,2022-05-05 11:18:19.637,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 11:18:19.637,2022-05-05 11:24:33.587,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 11:24:33.587,2022-05-05 11:29:05.537,Puttering_Around,annotator,PA TYPE
2022-05-05 11:29:05.537,2022-05-05 11:30:05.537,Puttering_Around,annotator,PA TYPE
2022-05-05 11:30:05.537,2022-05-05 11:30:05.537,Puttering_Around,annotator,PA TYPE
2022-05-05 11:30:27.525,2022-05-05 11:31:18.525,Puttering_Around,annotator,PA TYPE
