START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-05-09 06:45:18.675,2022-05-09 06:45:47.687,Doing_Alternative_Exercise/Therapy/Stretching,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 06:45:48.687,2022-05-09 06:52:47.737,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 06:52:48.737,2022-05-09 06:54:33.762,Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 06:54:33.762,2022-05-09 06:55:08.762,Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 06:55:13.762,2022-05-09 07:19:40.975,Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 07:19:40.975,2022-05-09 07:33:03.100,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 07:33:04.100,2022-05-09 07:34:09.100,Doing_Common_Housework,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 07:34:10.100,2022-05-09 07:35:52.125,Doing_Common_Housework,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 07:36:00.125,2022-05-09 07:37:00.125,Doing_Common_Housework_Light,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 07:37:00.125,2022-05-09 07:39:34.150,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 07:39:36.150,2022-05-09 07:48:00.225,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 07:48:00.225,2022-05-09 07:48:25.225,Eating/Dining/Doing_Common_Housework_Light,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 07:48:25.225,2022-05-09 07:50:19.250,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 07:50:19.250,2022-05-09 07:52:48.262,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 07:52:49.262,2022-05-09 07:53:31.275,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 07:53:31.275,2022-05-09 07:54:07.275,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 07:54:08.275,2022-05-09 07:55:31.287,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 07:55:31.287,2022-05-09 07:55:55.300,In_Transit_Active/Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 07:55:56.300,2022-05-09 07:56:14.300,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 07:56:14.300,2022-05-09 07:57:34.312,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 07:57:35.312,2022-05-09 07:57:41.312,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-09 07:57:42.312,2022-05-09 07:57:56.312,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
