START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-26 20:15:26,2022-04-26 20:17:14,Free_Living,annotator,Experimental situation,2022-04-26 00:00:00,2022-04-26 00:01:48
2022-04-26 20:17:14,2022-04-26 20:18:18,Free_Living,annotator,Experimental situation,2022-04-26 00:01:48,2022-04-26 00:02:52
2022-04-26 20:18:18,2022-04-26 20:20:53,Free_Living,annotator,Experimental situation,2022-04-26 00:02:52,2022-04-26 00:05:27
2022-04-26 20:21:03,2022-04-26 20:25:12,Free_Living,annotator,Experimental situation,2022-04-26 00:05:37,2022-04-26 00:09:46
2022-04-26 20:25:47,2022-04-26 21:07:17,Free_Living,annotator,Experimental situation,2022-04-26 00:10:21,2022-04-26 00:51:51
2022-04-26 21:07:21,2022-04-26 21:07:21,Free_Living,annotator,Experimental situation,2022-04-26 00:51:55,2022-04-26 00:51:55
2022-04-26 21:07:41,2022-04-26 21:08:26,Free_Living,annotator,Experimental situation,2022-04-26 00:52:15,2022-04-26 00:53:00
2022-04-26 21:08:29,2022-04-26 21:10:51,Free_Living,annotator,Experimental situation,2022-04-26 00:53:03,2022-04-26 00:55:25
2022-04-26 21:10:51,2022-04-26 21:13:12,Free_Living,annotator,Experimental situation,2022-04-26 00:55:25,2022-04-26 00:57:46
2022-04-26 21:13:18,2022-04-26 21:13:47,Free_Living,annotator,Experimental situation,2022-04-26 00:57:52,2022-04-26 00:58:21
2022-04-26 21:13:48,2022-04-26 21:14:05,Free_Living,annotator,Experimental situation,2022-04-26 00:58:22,2022-04-26 00:58:39
2022-04-26 21:14:07,2022-04-26 21:16:09,Free_Living,annotator,Experimental situation,2022-04-26 00:58:41,2022-04-26 01:00:43
2022-04-26 21:16:10,2022-04-26 21:17:36,Free_Living,annotator,Experimental situation,2022-04-26 01:00:44,2022-04-26 01:02:10
2022-04-26 21:17:37,2022-04-26 21:18:32,Free_Living,annotator,Experimental situation,2022-04-26 01:02:11,2022-04-26 01:03:06
2022-04-26 21:18:34,2022-04-26 21:20:20,Free_Living,annotator,Experimental situation,2022-04-26 01:03:08,2022-04-26 01:04:54
2022-04-26 21:20:21,2022-04-26 21:24:11,Free_Living,annotator,Experimental situation,2022-04-26 01:04:55,2022-04-26 01:08:45
2022-04-26 21:24:13,2022-04-26 21:35:59,Free_Living,annotator,Experimental situation,2022-04-26 01:08:47,2022-04-26 01:20:33
2022-04-26 21:36:05,2022-04-26 21:39:07,Free_Living,annotator,Experimental situation,2022-04-26 01:20:39,2022-04-26 01:23:41
2022-04-26 21:39:13,2022-04-26 21:39:50,Free_Living,annotator,Experimental situation,2022-04-26 01:23:47,2022-04-26 01:24:24
2022-04-26 21:39:51,2022-04-26 21:40:53,Free_Living,annotator,Experimental situation,2022-04-26 01:24:25,2022-04-26 01:25:27
2022-04-26 21:40:55,2022-04-26 21:49:45,Free_Living,annotator,Experimental situation,2022-04-26 01:25:29,2022-04-26 01:34:19
2022-04-26 21:49:46,2022-04-26 21:52:35,Free_Living,annotator,Experimental situation,2022-04-26 01:34:20,2022-04-26 01:37:09
2022-04-26 21:52:36,2022-04-26 21:54:02,Free_Living,annotator,Experimental situation,2022-04-26 01:37:10,2022-04-26 01:38:36
2022-04-26 21:54:03,2022-04-26 21:56:50,Free_Living,annotator,Experimental situation,2022-04-26 01:38:37,2022-04-26 01:41:24
2022-04-26 21:57:03,2022-04-26 22:02:30,Free_Living,annotator,Experimental situation,2022-04-26 01:41:37,2022-04-26 01:47:04
2022-04-26 22:02:41,2022-04-26 22:17:05,Free_Living,annotator,Experimental situation,2022-04-26 01:47:15,2022-04-26 02:01:39
2022-04-26 22:17:08,2022-04-26 22:18:53,Free_Living,annotator,Experimental situation,2022-04-26 02:01:42,2022-04-26 02:03:27
2022-04-26 22:18:56,2022-04-26 22:45:51,Free_Living,annotator,Experimental situation,2022-04-26 02:03:30,2022-04-26 02:30:25
